number,value,datetime_start,datetime_complete,duration,params_buy_threshold,params_loss_cooldown_days,params_max_holding_days,params_rsi_window,params_sell_threshold,params_sma_window,state
0,447.04640072223907,2026-01-07 10:44:40.810043,2026-01-07 10:48:32.431768,0 days 00:03:51.621725,28,55,64,15,66,170,COMPLETE
1,2956.5914274999277,2026-01-07 10:44:40.812089,2026-01-07 10:47:09.620113,0 days 00:02:28.808024,29,120,40,5,66,135,COMPLETE
2,25.178341577050034,2026-01-07 10:44:40.813198,2026-01-07 10:48:34.605600,0 days 00:03:53.792402,25,10,64,12,72,85,COMPLETE
3,1130.9530312475938,2026-01-07 10:44:40.814409,2026-01-07 10:47:20.549452,0 days 00:02:39.735043,23,80,59,5,75,75,COMPLETE
4,56.03232814200663,2026-01-07 10:44:40.816811,2026-01-07 10:48:29.492387,0 days 00:03:48.675576,31,20,78,20,62,150,COMPLETE
5,0.0,2026-01-07 10:44:40.818993,2026-01-07 10:48:33.543979,0 days 00:03:52.724986,20,85,80,14,66,70,COMPLETE
6,0.0,2026-01-07 10:44:40.820175,2026-01-07 10:48:33.838233,0 days 00:03:53.018058,23,140,107,16,63,45,COMPLETE
7,1597.9023133210528,2026-01-07 10:44:40.822711,2026-01-07 10:47:51.770384,0 days 00:03:10.947673,36,110,101,4,63,20,COMPLETE
8,152.8516341671269,2026-01-07 10:44:40.823922,2026-01-07 10:47:25.815459,0 days 00:02:44.991537,28,175,39,8,80,150,COMPLETE
9,343.5231272466036,2026-01-07 10:44:40.827358,2026-01-07 10:47:50.829377,0 days 00:03:10.002019,21,135,96,7,71,170,COMPLETE
10,741.8574089102531,2026-01-07 10:44:40.830384,2026-01-07 10:48:28.495731,0 days 00:03:47.665347,31,175,120,17,66,185,COMPLETE
11,573.4789280702234,2026-01-07 10:44:40.840296,2026-01-07 10:47:57.529535,0 days 00:03:16.689239,20,60,80,5,63,105,COMPLETE
12,2823.613868500014,2026-01-07 10:44:40.845126,2026-01-07 10:46:59.166895,0 days 00:02:18.321769,37,20,32,4,66,125,COMPLETE
13,0.0,2026-01-07 10:44:40.856300,2026-01-07 10:48:30.666691,0 days 00:03:49.810391,22,180,95,18,76,175,COMPLETE
14,56.98044647025418,2026-01-07 10:44:40.869667,2026-01-07 10:48:33.130841,0 days 00:03:52.261174,22,80,66,12,66,125,COMPLETE
15,598.3853104037136,2026-01-07 10:44:40.871745,2026-01-07 10:48:20.433345,0 days 00:03:39.561600,30,140,62,13,61,165,COMPLETE
16,0.0,2026-01-07 10:44:40.874105,2026-01-07 10:48:33.762805,0 days 00:03:52.888700,25,155,39,20,80,65,COMPLETE
17,1047.6175757812684,2026-01-07 10:44:40.883728,2026-01-07 10:48:22.735391,0 days 00:03:41.851663,32,50,120,17,62,165,COMPLETE
18,924.2052651845393,2026-01-07 10:44:40.887274,2026-01-07 10:47:08.578290,0 days 00:02:27.691016,40,100,52,11,76,75,COMPLETE
19,92.07787163859606,2026-01-07 10:44:40.890566,2026-01-07 10:47:46.202110,0 days 00:03:05.311544,30,45,60,10,66,165,COMPLETE
20,802.4091395057015,2026-01-07 10:44:40.892354,2026-01-07 10:47:55.509555,0 days 00:03:14.617201,25,55,104,8,61,190,COMPLETE
21,12.624648038734708,2026-01-07 10:44:40.893911,2026-01-07 10:48:32.228194,0 days 00:03:51.334283,26,165,50,18,77,185,COMPLETE
22,208.3169662351571,2026-01-07 10:44:40.896765,2026-01-07 10:48:29.187051,0 days 00:03:48.290286,34,145,44,14,68,90,COMPLETE
23,714.2530211200406,2026-01-07 10:44:40.900690,2026-01-07 10:46:54.371019,0 days 00:02:13.470329,37,10,76,10,62,145,COMPLETE
24,1293.3638146595858,2026-01-07 10:44:40.903910,2026-01-07 10:48:20.634306,0 days 00:03:39.730396,26,80,79,11,69,165,COMPLETE
25,0.0,2026-01-07 10:44:40.912831,2026-01-07 10:48:32.309870,0 days 00:03:51.397039,29,40,86,15,68,35,COMPLETE
26,830.8066907727219,2026-01-07 10:44:40.914007,2026-01-07 10:46:45.964971,0 days 00:02:05.050964,38,65,91,4,73,30,COMPLETE
27,1840.7540497445034,2026-01-07 10:44:40.928568,2026-01-07 10:47:05.741592,0 days 00:02:24.813024,33,90,54,3,69,200,COMPLETE
28,1316.7546374496844,2026-01-07 10:44:40.951304,2026-01-07 10:46:31.740118,0 days 00:01:50.788814,34,80,90,11,77,185,COMPLETE
29,0.0,2026-01-07 10:44:40.956665,2026-01-07 10:48:35.018063,0 days 00:03:54.061398,20,20,59,16,69,170,COMPLETE
30,215.3837222133012,2026-01-07 10:44:40.969487,2026-01-07 10:47:38.079517,0 days 00:02:57.110030,29,180,36,7,66,110,COMPLETE
31,183.53129511502706,2026-01-07 10:44:40.973171,2026-01-07 10:47:45.177792,0 days 00:03:04.204621,40,130,43,12,66,65,COMPLETE
32,1572.8730806089193,2026-01-07 10:46:32.203881,2026-01-07 10:49:09.278780,0 days 00:02:37.074899,37,0,90,17,65,190,COMPLETE
33,200.71188631540946,2026-01-07 10:46:46.094404,2026-01-07 10:48:52.630980,0 days 00:02:06.536576,37,120,75,7,77,195,COMPLETE
34,5248.384801494864,2026-01-07 10:46:54.566500,2026-01-07 10:49:09.374252,0 days 00:02:14.807752,35,25,111,3,80,135,COMPLETE
35,59.507549300527685,2026-01-07 10:47:00.257489,2026-01-07 10:49:28.578531,0 days 00:02:28.321042,26,100,73,7,66,190,COMPLETE
36,1176.3696617018613,2026-01-07 10:47:06.105603,2026-01-07 10:49:14.092586,0 days 00:02:07.986983,37,110,94,6,60,195,COMPLETE
37,737.8953212411769,2026-01-07 10:47:08.810514,2026-01-07 10:50:54.660035,0 days 00:03:45.849521,35,140,78,9,62,45,COMPLETE
38,733.7178473434666,2026-01-07 10:47:09.887377,2026-01-07 10:49:47.969376,0 days 00:02:38.081999,28,160,110,6,61,140,COMPLETE
39,3181.5387641592865,2026-01-07 10:47:21.120806,2026-01-07 10:49:22.151969,0 days 00:02:01.031163,36,20,44,5,73,135,COMPLETE
40,292.05241251747634,2026-01-07 10:47:26.030148,2026-01-07 10:49:18.912226,0 days 00:01:52.882078,36,150,109,11,73,175,COMPLETE
41,0.0,2026-01-07 10:47:38.335744,2026-01-07 10:51:35.280186,0 days 00:03:56.944442,20,135,106,16,60,100,COMPLETE
42,0.0,2026-01-07 10:47:45.305937,2026-01-07 10:51:39.818357,0 days 00:03:54.512420,26,10,118,20,60,130,COMPLETE
43,22.40550821835836,2026-01-07 10:47:46.648143,2026-01-07 10:51:36.789784,0 days 00:03:50.141641,23,130,119,16,60,120,COMPLETE
44,22.40550821835836,2026-01-07 10:47:51.216791,2026-01-07 10:51:34.057171,0 days 00:03:42.840380,25,5,31,17,61,120,COMPLETE
45,30.524364386945813,2026-01-07 10:47:51.818899,2026-01-07 10:51:38.270422,0 days 00:03:46.451523,26,5,120,16,60,120,COMPLETE
46,328.6960100158587,2026-01-07 10:47:55.811923,2026-01-07 10:51:39.097942,0 days 00:03:43.286019,33,25,119,16,69,115,COMPLETE
47,82.10173105858374,2026-01-07 10:47:57.679778,2026-01-07 10:51:39.303028,0 days 00:03:41.623250,32,10,30,16,68,120,COMPLETE
48,563.6063705242443,2026-01-07 10:48:20.925396,2026-01-07 10:51:46.917239,0 days 00:03:25.991843,34,0,119,17,65,125,COMPLETE
49,279.9025284458284,2026-01-07 10:48:21.116119,2026-01-07 10:51:47.268495,0 days 00:03:26.152376,33,5,120,17,65,125,COMPLETE
