RSI,SMA,Buy,Sell,Hold,MaxPos,Return,MDD,WinRate,Trades
3,20,5,55,5,3,-45.56464471925102,-75.04566880581321,55.966239813736905,3436
3,20,5,55,5,5,14.60700752951749,-62.652250441795765,56.01401323472168,5138
3,20,5,55,5,10,2.704457103225355,-51.4554367640771,55.030049647243274,7654
3,20,5,55,5,20,-5.198839006071509,-38.71330123932669,54.350677743769126,9148
3,20,5,55,10,3,62.647931125117395,-72.66232838330438,62.44360902255639,2660
3,20,5,55,10,5,265.5354032474994,-55.626570726691035,62.79522766009252,4107
3,20,5,55,10,10,205.17354574863415,-44.85358107924467,62.628865979381445,6596
3,20,5,55,10,20,139.89145462906464,-29.95040677418328,62.57152866985869,8563
3,20,5,55,15,3,155.7437696484298,-70.22739701342459,63.1321370309951,2452
3,20,5,55,15,5,503.949210539506,-54.027447251528486,63.72599896211728,3854
3,20,5,55,15,10,295.6057694719967,-45.09512753050121,63.36758893280633,6325
3,20,5,55,15,20,189.29712579101778,-32.75546610544275,63.29369797859691,8410
3,20,5,55,20,3,288.8576792369312,-67.75247225491889,63.11850311850312,2405
3,20,5,55,20,5,692.3112343721054,-59.088966448209355,63.83091149273448,3785
3,20,5,55,20,10,250.19588306235244,-47.591550295959415,63.42829705505761,6248
3,20,5,55,20,20,196.7994044863525,-33.64121812061785,63.26530612244898,8379
3,20,5,55,25,3,249.10991634785984,-69.82913599988818,62.956740865182695,2381
3,20,5,55,25,5,599.4373625336448,-53.4299648990062,63.68968275126633,3751
3,20,5,55,25,10,302.8351313343371,-43.50318542637204,63.47546259050684,6215
3,20,5,55,25,20,210.42715161938816,-31.518185207489157,63.27042522694697,8372
3,20,5,55,30,3,432.1699283052572,-66.90785972749318,63.22418136020151,2382
3,20,5,55,30,5,716.9730070328338,-46.86411632397531,63.730984787830266,3747
3,20,5,55,30,10,314.14708470636697,-42.246591276176574,63.51917499194328,6206
3,20,5,55,30,20,211.0996899739453,-30.82269125217701,63.252868068833656,8368
3,20,5,55,40,3,406.1280810487844,-67.17347826310126,63.20873582528349,2381
3,20,5,55,40,5,683.8740378540898,-50.99160639702305,63.6825227151256,3742
3,20,5,55,40,10,314.6118512249283,-42.2408282204502,63.52201257861635,6201
3,20,5,55,40,20,213.84057986159823,-30.89057041375838,63.24847615632844,8367
3,20,5,55,50,3,406.1280810487844,-67.17347826310126,63.20873582528349,2381
3,20,5,55,50,5,683.8740378540898,-50.99160639702305,63.6825227151256,3742
3,20,5,55,50,10,319.0906207333209,-41.62821463926795,63.52201257861635,6201
3,20,5,55,50,20,214.40609692224314,-30.77895069192357,63.24847615632844,8367
3,20,5,60,5,3,-25.73252386235997,-77.22203742666562,55.15587529976019,3336
3,20,5,60,5,5,54.34755054926941,-61.48837916645944,55.191693290734825,5008
3,20,5,60,5,10,29.818081473905412,-49.29309226478334,54.070152217074785,7555
3,20,5,60,5,20,2.9209115716545053,-38.67828240063646,53.29965960250357,9107
3,20,5,60,10,3,35.434684785210216,-71.3397079724074,61.63249211356467,2536
3,20,5,60,10,5,368.53380943458626,-47.29841849936761,62.357703010371864,3953
3,20,5,60,10,10,303.1800481056634,-41.33339187999729,62.01938105658018,6398
3,20,5,60,10,20,165.1404649936616,-27.769643151942297,61.935789598388816,8441
3,20,5,60,15,3,84.0484818713854,-63.7311212969678,62.625381596162235,2293
3,20,5,60,15,5,425.3528003004055,-54.81116441161252,62.802863436123346,3632
3,20,5,60,15,10,355.67760885415424,-41.344112385734405,62.99472295514512,6064
3,20,5,60,15,20,238.52225922194816,-31.11466322830898,62.996608527131784,8256
3,20,5,60,20,3,220.45208300170444,-60.63642626882035,62.97948260481713,2242
3,20,5,60,20,5,913.7773496203847,-54.116763061984464,63.40569495348182,3547
3,20,5,60,20,10,362.4095310776185,-43.38590584649273,63.162307176391685,5964
3,20,5,60,20,20,241.81556254051125,-31.15559631415566,63.05592786645546,8207
3,20,5,60,25,3,180.93485374344763,-56.64213830595387,62.77173913043478,2208
3,20,5,60,25,5,711.2382158814336,-49.55222098813882,63.288609763060236,3503
3,20,5,60,25,10,404.4641960270451,-41.99042946553562,63.1979695431472,5910
3,20,5,60,25,20,263.85518300513866,-29.117455369914357,63.05382643720249,8193
3,20,5,60,30,3,326.16892552249226,-57.14331908715479,62.88706739526412,2196
3,20,5,60,30,5,807.9231215928457,-48.690029125542445,63.28169822145726,3486
3,20,5,60,30,10,393.73923451306024,-42.646369447774624,63.149847094801224,5886
3,20,5,60,30,20,273.6476106545326,-28.600878279674475,63.0331174385922,8183
3,20,5,60,40,3,269.88700835129447,-61.77135138301113,62.78006401463192,2187
3,20,5,60,40,5,795.2049083319689,-54.357574093816616,63.343866704969834,3481
3,20,5,60,40,10,407.06944758201,-42.50672584907584,63.18653290256759,5881
3,20,5,60,40,20,275.3647202587751,-28.89472369084423,63.040821315081885,8182
3,20,5,60,50,3,282.682132179937,-60.45959237152935,62.797074954296164,2188
3,20,5,60,50,5,792.3074243001421,-53.68556195960294,63.33333333333333,3480
3,20,5,60,50,10,408.77442647286733,-41.905123879090034,63.18027210884354,5880
3,20,5,60,50,20,276.1392906904758,-28.67479265987109,63.040821315081885,8182
3,20,5,65,5,3,24.408494833149575,-69.82079285773025,54.08824436902191,3241
3,20,5,65,5,5,89.04668512102283,-56.62123877177461,54.04630198729768,4881
3,20,5,65,5,10,67.3489824505189,-47.804561964729714,53.10280123307868,7461
3,20,5,65,5,20,14.615963595315296,-38.1793321154903,52.14805023132849,9078
3,20,5,65,10,3,-20.921907008891615,-72.93897067086667,59.71760797342193,2408
3,20,5,65,10,5,366.86915396239084,-52.37903653752332,60.71523885775287,3747
3,20,5,65,10,10,320.297973566833,-38.43502373538874,60.926939169616986,6214
3,20,5,65,10,20,198.07658662748452,-27.614040220439296,60.777258006477155,8337
3,20,5,65,15,3,-3.755016938844369,-80.7505053752722,61.136999068033546,2146
3,20,5,65,15,5,169.44027353806538,-60.32120593988115,61.86987104337632,3412
3,20,5,65,15,10,398.4372215534776,-39.018013773011766,62.301860785665056,5804
3,20,5,65,15,20,268.81795634937714,-30.03294535678409,62.365724163476976,8099
3,20,5,65,20,3,1.4149154707606026,-81.4478284796001,61.45631067961165,2060
3,20,5,65,20,5,571.9268403984596,-61.68731739765199,62.74924471299094,3310
3,20,5,65,20,10,434.24857712633747,-37.938040774138344,62.806707855251545,5665
3,20,5,65,20,20,293.9454468975524,-29.402718774439002,62.59037646472202,8022
3,20,5,65,25,3,22.756690796486588,-72.97093790569336,61.199207135777996,2018
3,20,5,65,25,5,534.4462347349607,-55.84241697229001,62.534604737003995,3251
3,20,5,65,25,10,461.29100041277565,-41.80544684821002,62.771105932962904,5579
3,20,5,65,25,20,339.37314293520035,-26.287826331800368,62.65165728580363,7995
3,20,5,65,30,3,88.18171980969196,-74.28937632881191,61.27744510978044,2004
3,20,5,65,30,5,661.292241646937,-54.60793626503231,62.64279098487188,3239
3,20,5,65,30,10,565.7753008847646,-40.43057107528646,62.92175161521896,5572
3,20,5,65,30,20,346.11744907099717,-26.747445499716093,62.640942119769484,7982
3,20,5,65,40,3,105.23431922233061,-74.32707363671962,61.28385155466399,1994
3,20,5,65,40,5,683.9144615259753,-55.72622865125971,62.67038413878563,3228
3,20,5,65,40,10,555.5435967248992,-43.393327708071396,62.88437331415213,5561
3,20,5,65,40,20,336.5347136777299,-27.72828546431495,62.614362702093,7979
3,20,5,65,50,3,127.45542821438276,-71.49697925374888,61.33400200601805,1994
3,20,5,65,50,5,724.3379288703608,-53.469294632577245,62.67823930564166,3226
3,20,5,65,50,10,554.2517061520367,-42.37886010681506,62.86433969053616,5558
3,20,5,65,50,20,338.0810390707273,-27.583834938146406,62.62221108047129,7978
3,20,5,70,5,3,59.14296271493706,-77.22156201321403,52.98602287166455,3148
3,20,5,70,5,5,39.44541812531257,-56.93618590535705,52.595228128924234,4778
3,20,5,70,5,10,59.28757921443739,-51.72348588800478,52.01086956521739,7360
3,20,5,70,5,20,11.765325193951215,-37.98744196730909,50.940265486725664,9040
3,20,5,70,10,3,21.01878579812635,-76.69837054459951,58.46756639094471,2297
3,20,5,70,10,5,272.82959279339775,-57.72363140052863,59.1796875,3584
3,20,5,70,10,10,262.42855660701923,-38.35937319642078,59.597806215722116,6017
3,20,5,70,10,20,194.99595536378348,-29.12430687614917,59.46341463414634,8200
3,20,5,70,15,3,-5.116858151305525,-86.30148553312604,60.21989005497252,2001
3,20,5,70,15,5,60.36319838644668,-73.24785161159548,60.932123866124485,3197
3,20,5,70,15,10,364.91219963006677,-37.85460352657849,61.6579375112877,5537
3,20,5,70,15,20,256.23719592920577,-31.141054355096053,61.67384147885541,7898
3,20,5,70,20,3,107.90857910666989,-68.37096206388817,61.41361256544503,1910
3,20,5,70,20,5,258.64620643987746,-55.388516759118964,61.889143981633325,3049
3,20,5,70,20,10,390.0123525749784,-39.40173193370849,62.33644859813084,5350
3,20,5,70,20,20,290.94368347501353,-32.23778384539507,62.2253629705769,7783
3,20,5,70,25,3,85.50396454897925,-70.70275012172974,61.01511879049676,1852
3,20,5,70,25,5,254.14027380939692,-53.15631683561042,61.88552188552189,2970
3,20,5,70,25,10,502.6295764955078,-42.36757110248736,62.57142857142857,5250
3,20,5,70,25,20,336.09594034356115,-29.190235738123842,62.38686320144815,7734
3,20,5,70,30,3,162.47983037269603,-72.43611746839417,61.35371179039302,1832
3,20,5,70,30,5,227.47074447313597,-58.77900003029401,61.76671214188267,2932
3,20,5,70,30,10,462.8332292479259,-43.51754973358564,62.41352805534205,5204
3,20,5,70,30,20,331.27846684880745,-30.24033183474885,62.448132780082986,7712
3,20,5,70,40,3,72.34303852026403,-72.55732613452376,61.1387506909895,1809
3,20,5,70,40,5,245.02552787352903,-57.42672798192474,61.80507892930679,2914
3,20,5,70,40,10,416.28756474374427,-47.23367468281647,62.36684098392408,5163
3,20,5,70,40,20,322.26666788200095,-31.16654639212056,62.405819693426864,7698
3,20,5,70,50,3,57.25654501147848,-72.01209037312337,61.13270405330372,1801
3,20,5,70,50,5,233.69228085221647,-56.11539504582523,61.729245607991736,2903
3,20,5,70,50,10,410.40561354440035,-46.010487772072985,62.33993015133876,5154
3,20,5,70,50,20,311.72047206307036,-31.375366828532826,62.38460538291509,7691
3,20,5,75,5,3,-24.893973532940795,-79.57441376706214,51.277850589777195,3052
3,20,5,75,5,5,35.199126331532085,-62.86702675848649,51.50667240637107,4646
3,20,5,75,5,10,63.87663054137131,-52.10122667799715,50.98012147984539,7244
3,20,5,75,5,20,14.081438883666175,-39.08754701530483,49.944469124833404,9004
3,20,5,75,10,3,-16.71144338766065,-78.86102721675829,57.05774518790101,2182
3,20,5,75,10,5,435.3561623944118,-51.136418720887974,57.86565862169235,3439
3,20,5,75,10,10,298.02160063217616,-39.56521516506463,57.90197764402407,5815
3,20,5,75,10,20,252.3297616632521,-27.082640646453125,58.02132407636995,8066
3,20,5,75,15,3,89.40602696773749,-79.64608768563433,60.09615384615385,1872
3,20,5,75,15,5,372.7836589946424,-57.56888572085084,60.556844547563806,3017
3,20,5,75,15,10,413.6365356110608,-40.97575386560134,60.96307575180815,5254
3,20,5,75,15,20,387.8253292386919,-29.49287665320666,61.13276175630033,7698
3,20,5,75,20,3,77.09734112743003,-72.77843091087615,61.284820920977836,1759
3,20,5,75,20,5,627.6183773671596,-50.93798305036628,61.741889985895625,2836
3,20,5,75,20,10,499.18996382769893,-37.998394438928386,61.92751891676623,5022
3,20,5,75,20,20,405.48584122405407,-29.551250331792296,62.09228321400159,7542
3,20,5,75,25,3,189.5511263991049,-68.5611297116535,61.48409893992933,1698
3,20,5,75,25,5,695.921763495717,-58.10014745886984,61.76362971094036,2733
3,20,5,75,25,10,623.0397710607718,-43.222037308479955,62.3155737704918,4880
3,20,5,75,25,20,525.9062184739225,-29.571057929674854,62.573647562935186,7468
3,20,5,75,30,3,128.82764827302373,-72.98289657119236,61.25150421179302,1662
3,20,5,75,30,5,631.6911147892863,-56.88715497474419,61.72747580044676,2686
3,20,5,75,30,10,557.0276034955282,-43.31421425519384,62.224532224532226,4810
3,20,5,75,30,20,520.0458783974574,-29.797375211104658,62.592642501010644,7421
3,20,5,75,40,3,98.2358710359327,-71.54701155094959,61.30012150668287,1646
3,20,5,75,40,5,530.9527030753336,-59.35533022663457,61.68611215656755,2657
3,20,5,75,40,10,459.90067654700954,-48.34632753104521,62.13204373423045,4756
3,20,5,75,40,20,570.863114006647,-31.41052304120634,62.640183758951494,7401
3,20,5,75,50,3,85.78016654973352,-74.84335421496723,61.11451316595223,1633
3,20,5,75,50,5,485.18583732105577,-53.89086656456992,61.623056503602584,2637
