BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2024-08-14,2024-12-04,넥슨게임즈,225570.KQ,23100.0,14110.0,52257,-473501277.9554999,-39.18010089263147,112,26.353277494484885,70.04296217743142
2025-01-17,2025-05-15,신성델타테크,065350.KQ,88200.0,61200.0,16165,-441210904.6500001,-30.910269516586542,118,26.462410182090338,71.60555876782887
2025-07-08,2025-09-19,씨젠,096530.KQ,30844.55859375,26381.51953125,73658,-337472383.4288018,-14.83681238560623,73,18.796591331648557,80.20733725742919
2024-10-08,2024-12-13,원텍,336570.KQ,6516.49853515625,4780.7490234375,178602,-314036404.6258892,-26.951331445809874,66,27.86675334197784,77.65900426524705
2025-02-21,2025-04-14,에스피지,058610.KQ,28694.693359375,22975.646484375,50907,-296503701.0257747,-20.274580383054968,52,25.17678439928713,70.11547526983435
2024-06-04,2024-08-14,한글과컴퓨터,030520.KQ,24600.0,18900.0,46555,-269452192.875,-23.500718076650877,71,19.02275384103808,70.76205799751311
2024-08-01,2024-09-11,펩트론,087010.KQ,66000.0,52500.0,19310,-265344020.25,-20.796198008653686,41,29.492179275464522,71.43931016317765
2025-02-14,2025-04-14,바이넥스,053030.KQ,19770.0,16460.0,76072,-257472112.0840001,-17.10013504702269,59,25.11838857924606,71.93780826992042
2024-07-03,2024-08-14,피에스케이홀딩스,031980.KQ,61952.8671875,49659.09765625,20386,-255262106.13630342,-20.18802185725466,42,15.763012161367357,71.22103869293586
2024-07-24,2024-09-02,제이앤티씨,204270.KQ,23400.0,19000.0,55044,-246969217.43999994,-19.152163046684343,40,20.93206801437313,71.64752131087836
2025-03-05,2025-04-23,이녹스첨단소재,272290.KQ,27200.0,23000.0,51953,-223591684.68999982,-15.80436174869487,49,15.50843575930459,74.26823608115032
2024-06-27,2024-09-19,비에이치아이,083650.KQ,9820.0,8180.0,131482,-220503202.92000008,-17.058386928352157,84,22.66063098409795,75.2934382773386
2024-06-26,2024-08-01,피엔티,137400.KQ,67478.4296875,56662.03515625,19147,-212004777.1665349,-16.390069332866354,36,19.749594648020164,75.09913500253366
2025-10-29,2026-01-05,티씨케이,064760.KQ,167268.84375,155100.0,15389,-197745078.52568865,-7.673280554676966,68,30.043084659551766,78.98104918544871
2021-10-07,2022-01-04,HLB,028300.KQ,46113.38671875,32781.59375,14195,-191463372.0228858,-29.216227351226966,89,18.129720636591614,73.47473589247838
2022-07-21,2022-10-06,씨젠,096530.KQ,38479.95703125,25335.28515625,13433,-178238849.73843324,-34.442576043765875,77,34.91967729115041,73.5611236505031
2023-08-01,2023-11-06,성우하이텍,015750.KQ,11606.95703125,8198.1171875,50561,-174334930.35728848,-29.672301235037352,97,28.15713213082435,76.2959176226729
2024-05-21,2024-07-03,필옵틱스,161580.KQ,26500.0,22650.0,43237,-170864949.4325,-14.895408016629933,43,23.145541239700236,74.28747461851754
2021-01-04,2021-03-29,셀트리온제약,068760.KQ,178901.828125,126124.5625,3060,-163343703.00360942,-29.803484309254273,84,31.021318671007307,70.88527956165406
2021-06-18,2021-10-18,LS마린솔루션,060370.KQ,7778.0732421875,5767.01220703125,77273,-157495657.83428186,-26.17397187116806,122,28.168695001849926,73.66409521920339
2020-02-06,2020-04-03,와이씨,232140.KQ,4195.0,2575.0,87384,-142692435.73199996,-38.88104365319572,57,29.540722457512004,74.4519037337479
2022-01-04,2022-03-03,에스티팜,237690.KQ,127684.3515625,101794.4375,5316,-140115957.24480462,-20.618914554759908,58,29.90090318414613,70.35020193873905
2022-07-29,2022-11-08,메지온,140410.KQ,19150.0,14100.0,26955,-137913572.8125,-26.686999245906375,102,29.327472309218862,75.20848706851764
2022-04-25,2022-07-26,파마리서치,214450.KQ,90315.1796875,69797.9296875,6299,-131277307.41554922,-23.049321736822666,92,15.954089988739767,75.87754439151668
2022-04-01,2022-05-24,로보티즈,108490.KQ,27050.0,21250.0,22005,-129786480.22500002,-21.779186837170528,53,29.814972490052938,75.0736600745694
2022-01-04,2022-05-20,오스코텍,039200.KQ,34050.0,28000.0,19935,-123145621.76250005,-18.121179732881348,136,24.413889232626715,80.02591767301979
2020-02-20,2020-04-06,대주전자재료,078600.KQ,19310.154296875,12939.7939453125,19031,-122432653.36747903,-33.27750494871526,46,24.60301987013689,72.0384001237714
2021-01-08,2021-03-16,에이비엘바이오,298380.KQ,27500.0,22200.0,20343,-109883833.36500001,-19.6194558076394,67,21.36335724928712,70.50155221282888
2021-12-29,2022-03-03,미코,059090.KQ,14171.666015625,11892.3076171875,46986,-109623815.78526473,-16.44433744565888,64,34.842391912417696,70.75557862410645
2019-12-17,2020-03-31,제룡전기,033100.KQ,5983.90185546875,4206.279296875,59887,-107662083.3484788,-30.008660348776832,105,33.96556615682371,81.4972615549996
