BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2005-11-22,2005-12-28,포스코엠텍,009520.KQ,78.50312805175781,144.27403259277344,444242,28976200.988426797,82.9919016392508,36,34.414000094288085,96.92238909188396
2024-08-05,2024-08-26,보로노이,310210.KQ,58900.0,83500.0,27369,664224829.5600002,41.15681228047848,21,18.09059069145438,81.36817773479171
2021-12-20,2021-12-28,위메이드맥스,101730.KQ,33650.0,46300.0,29487,367568945.3024999,37.00189804013645,8,15.108072183767874,76.65757310817928
2019-09-20,2019-09-30,HLB,028300.KQ,18262.7265625,25069.744140625,23784,159520376.08316016,36.68313974299796,10,33.39211213753619,88.943475599324
2010-09-13,2010-09-27,젬백스,082270.KQ,11900.0,16300.0,6476,28073265.72,36.38647488161723,14,25.691530693957446,73.4535031942488
2025-12-12,2025-12-16,메지온,140410.KQ,71400.0,97000.0,70614,1780344176.7600002,35.27083909526454,4,27.86126675470163,83.28975204353841
2024-06-07,2024-06-21,제룡전기,033100.KQ,59227.34765625,80461.59375,29143,609458251.4145312,35.26860393513239,14,23.539583927692945,84.75880543687099
2025-06-13,2025-07-08,파마리서치,214450.KQ,432240.15625,586291.125,7765,1178005441.4637575,35.057550900987536,25,25.69729152613766,85.065860760156
2011-09-26,2011-09-30,큐렉소,060280.KQ,8750.0,11600.0,9287,26035152.582499996,32.00202624125113,4,24.35567216301935,72.91135508994012
2009-06-25,2009-06-29,브이티,018290.KQ,6600.0,8700.0,6902,14252664.509999998,31.252014728516748,4,21.247927368295436,71.41126489483578
2024-11-25,2024-12-12,펩트론,087010.KQ,80500.0,105900.0,23844,595476240.9600003,30.98776779374528,17,24.9577687058935,71.98911194746037
2005-11-28,2005-12-06,서부T&D,006730.KQ,2209.265869140625,2885.325439453125,15891,10558459.34566164,30.040156403902174,8,34.87930638981405,76.0737375094113
2024-12-13,2025-01-13,비에이치아이,083650.KQ,13240.0,17180.0,158742,614435833.494,29.200988349802557,31,30.21760952599351,74.33752290043206
2020-06-19,2020-07-03,씨젠,096530.KQ,43795.69140625,56596.18359375,9364,117722795.5722813,28.672702134585005,14,20.94554501422155,87.02451892089046
2014-10-13,2014-10-20,유진로봇,056080.KQ,4450.0,5750.0,48686,62160824.22,28.658503395252765,7,16.619487967801206,80.37700121642607
2020-11-04,2020-11-10,신성델타테크,065350.KQ,5333.64599609375,6874.04931640625,124268,187969811.32443357,28.32731798260067,6,24.89833345236731,84.67271646751765
2015-10-12,2015-10-26,네이처셀,007390.KQ,3950.0,5070.0,77519,85231132.75300002,27.803140312691042,14,33.86384823022901,86.4867714881621
2008-12-24,2008-12-29,케이엠더블유,032500.KQ,2650.0,3400.0,13712,10095357.159999996,27.75082240329281,5,34.20751755001034,79.89080759498593
