종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"196,500","-5,400","2.67","11,574,486,600","4,308,534,456,000"
051500,CJ프레시웨이,"25,550","-950","3.58","1,439,208,600","303,319,022,300"
058820,CMG제약,"4,165","-70","1.65","2,733,270,100","453,515,371,260"
028150,GS홈쇼핑,"173,100","-6,500","3.62","3,828,776,600","1,135,968,750,000"
067290,JW신약,"6,570","-140","2.09","1,789,757,320","273,753,280,620"
035900,JYP Ent.,"29,050","-1,200","3.97","14,286,363,150","1,027,069,024,800"
035600,KG이니시스,"15,900","500","3.25","3,741,744,100","443,680,500,600"
030190,NICE평가정보,"10,500","-450","4.11","1,578,381,600","637,505,610,000"
218410,RFHIC,"25,750","1,150","4.67","13,299,985,100","577,983,444,250"
178920,SKC코오롱PI,"32,200","-1,000","3.01","16,078,279,050","945,595,568,400"
036490,SK머티리얼즈,"146,000","-5,000","3.31","4,348,736,400","1,539,960,258,000"
063080,게임빌,"50,900","-3,500","6.43","1,445,384,500","335,695,272,800"
098460,고영,"83,500","1,000","1.21","5,078,595,000","1,142,943,908,500"
121440,골프존뉴딘홀딩스,"3,585","-100","2.71","348,881,600","153,569,992,530"
089600,나스미디어,"27,100","-1,300","4.58","1,110,447,400","237,252,126,100"
168330,내츄럴엔도텍,"13,000","-600","4.41","1,357,097,100","268,655,686,000"
092730,네오팜,"44,000","-1,000","2.22","1,127,055,550","328,294,428,000"
007390,네이처셀,"11,100","-800","6.72","24,233,651,350","588,926,028,900"
144510,녹십자랩셀,"44,600","-1,300","2.83","3,373,336,400","470,710,808,400"
031390,녹십자셀,"50,900","400","0.79","18,420,937,300","603,318,361,700"
222040,뉴트리바이오텍,"15,550","-850","5.18","4,484,929,000","320,765,400,000"
068240,다원시스,"-","100","0.63","8,773,272,200","417,616,912,000"
045390,대아티아이,"7,770","-440","5.36","46,905,930,850","552,847,325,940"
010170,대한광통신,"5,350","250","4.90","17,981,448,070","394,517,693,750"
067080,대화제약,"19,700","-100","0.51","2,176,534,300","359,031,987,800"
192080,더블유게임즈,"57,100","-2,700","4.52","5,081,121,700","1,041,920,715,800"
213420,덕산네오룩스,"13,400","-800","5.63","1,814,182,400","321,734,160,800"
100130,동국S&C,"2,885","-50","1.70","389,677,965","164,857,555,000"
086450,동국제약,"56,700","-1,200","2.07","643,682,600","504,176,400,000"
005290,동진쎄미켐,"6,860","-450","6.16","3,466,007,820","352,703,428,840"
025900,동화기업,"19,550","-900","4.40","546,956,350","280,674,579,800"
039840,디오,"28,300","-450","1.57","1,044,409,750","429,350,704,900"
141080,레고켐바이오,"57,100","400","0.71","12,577,072,600","604,682,262,200"
058470,리노공업,"44,650","-2,400","5.10","4,264,511,350","680,571,820,500"
016100,리더스코스메틱,"10,500","-500","4.55","682,104,950","190,789,347,000"
038290,마크로젠,"28,450","-850","2.90","1,571,053,700","301,725,166,300"
267980,매일유업,"80,700","1,900","2.41","2,654,698,100","632,981,586,600"
215200,메가스터디교육,"25,050","-900","3.47","1,640,900,350","294,635,094,000"
086900,메디톡스,"583,000","5,200","0.90","15,919,611,900","3,297,759,905,000"
078160,메디포스트,"72,000","-1,200","1.64","4,446,077,600","566,526,312,000"
140410,메지온,"89,800","-2,200","2.39","11,282,321,300","776,025,378,400"
080420,모다이노칩,"8,080","-110","1.34","177,116,920","322,075,352,880"
080160,모두투어,"23,500","-600","2.49","1,817,881,100","444,150,000,000"
049950,미래컴퍼니,"49,250","-250","0.51","1,496,101,400","387,328,595,000"
206640,바디텍메드,"10,400","-300","2.80","705,998,650","243,550,611,200"
053030,바이넥스,"9,170","10","0.11","2,629,333,650","290,973,710,160"
084990,바이로메드,"260,000","6,000","2.36","105,322,423,100","4,148,627,600,000"
043150,바텍,"21,050","-550","2.55","845,095,500","312,682,088,800"
100120,뷰웍스,"32,350","-650","1.97","850,122,900","323,560,332,750"
090460,비에이치,"16,600","-200","1.19","5,404,446,550","520,904,281,600"
000250,삼천당제약,"36,750","-1,250","3.29","8,018,356,600","812,388,627,750"
038500,삼표시멘트,"4,095","-205","4.77","1,343,286,455","439,627,623,435"
038540,상상인,"17,800","-50","0.28","4,884,343,200","849,921,466,600"
006730,서부T&D,"8,740","-220","2.46","708,067,820","453,354,349,180"
046890,서울반도체,"19,650","300","1.55","7,380,522,550","1,145,701,110,000"
035890,서희건설,"1,150","-40","3.36","1,650,569,435","199,487,906,750"
014620,성광벤드,"11,050","-350","3.07","1,918,917,350","316,030,000,000"
015750,성우하이텍,"3,540","-100","2.75","828,317,460","283,200,000,000"
036630,세종텔레콤,"469","-3","0.64","1,801,566,230","281,552,953,094"
068760,셀트리온제약,"60,900","-2,600","4.09","12,955,513,900","2,074,613,553,600"
091990,셀트리온헬스케어,"72,500","-2,800","3.72","65,385,935,700","10,188,174,802,500"
036830,솔브레인,"46,600","-950","2.00","1,548,369,450","810,759,428,600"
253450,스튜디오드래곤,"90,800","-1,600","1.73","15,715,621,900","2,547,075,292,000"
215600,신라젠,"73,400","-100","0.14","119,385,671,000","5,124,570,222,200"
108320,실리콘웍스,"33,700","100","0.30","1,422,895,900","548,106,910,000"
096530,씨젠,"15,600","-400","2.50","1,699,208,450","409,250,712,000"
025980,아난티,"19,800","1,050","5.60","103,092,755,800","1,629,954,117,000"
092040,아미코젠,"33,900","-200","0.59","4,955,978,750","650,592,189,000"
067390,아스트,"10,400","100","0.97","1,119,031,700","163,437,008,800"
060570,아이리버,"6,700","-60","0.89","1,173,445,490","372,240,469,300"
067160,아프리카TV,"38,300","-1,100","2.79","4,897,028,250","440,249,576,100"
053800,안랩,"46,150","-250","0.54","2,389,224,200","462,139,408,250"
065660,안트로젠,"69,000","-1,700","2.40","6,502,028,000","582,342,819,000"
217480,에스디생명공학,"8,380","-340","3.90","1,029,135,190","187,838,253,080"
073070,에스모,"7,040","-30","0.42","4,246,311,290","616,058,960,000"
056190,에스에프에이,"34,650","50","0.14","3,397,730,250","1,244,238,534,000"
041510,에스엠,"51,100","-1,200","2.29","8,886,553,800","1,176,391,036,100"
007820,에스엠코어,"8,260","-400","4.62","820,751,310","165,480,393,960"
052020,에스티큐브,"23,100","100","0.43","8,149,998,550","617,015,807,100"
237690,에스티팜,"19,350","-450","2.27","788,810,550","360,993,600,000"
028300,에이치엘비,"76,300","-3,600","4.51","71,268,973,600","2,988,784,839,600"
067630,에이치엘비생명과학,"16,000","-1,200","6.98","12,737,131,850","580,778,000,000"
182400,에이티젠,"12,300","-650","5.02","864,129,800","305,223,159,300"
086520,에코프로,"31,950","-1,050","3.18","14,515,604,750","705,781,602,450"
183490,엔지켐생명과학,"98,800","-100","0.10","5,188,211,900","763,598,721,600"
066970,엘앤에프,"34,800","-1,600","4.40","11,007,593,450","861,567,090,000"
115960,연우,"21,900","-1,000","4.37","1,298,509,400","271,516,200,000"
039200,오스코텍,"21,050","-1,550","6.86","11,502,424,650","573,629,066,350"
048260,오스템임플란트,"51,000","-2,500","4.67","2,642,748,900","728,571,567,000"
019210,와이지-원,"9,250","-70","0.75","672,966,440","282,184,181,500"
122870,와이지엔터테인먼트,"45,900","-1,600","3.37","13,175,649,650","834,724,043,100"
215360,우리산업,"36,550","200","0.55","15,988,935,900","333,780,557,650"
240810,원익IPS,"19,450","-650","3.23","3,702,477,300","802,768,330,200"
104830,원익머트리얼즈,"20,950","-800","3.68","617,614,900","264,137,600,000"
030530,원익홀딩스,"3,450","-60","1.71","524,977,945","266,471,034,450"
069080,웹젠,"21,450","150","0.70","14,503,699,900","757,418,461,800"
112040,위메이드,"30,600","4,650","17.92","32,241,763,500","514,080,000,000"
018000,유니슨,"1,490","-85","5.40","1,011,435,505","139,464,902,940"
023410,유진기업,"6,020","-230","3.68","5,569,747,090","464,274,843,340"
084370,유진테크,"10,650","-50","0.47","1,182,045,600","244,055,847,300"
272290,이녹스첨단소재,"36,500","-1,200","3.18","1,973,479,250","327,386,969,000"
039030,이오테크닉스,"44,450","-3,850","7.97","6,315,931,400","545,873,825,700"
035810,이지바이오,"5,860","-200","3.30","2,449,865,040","339,454,276,860"
016250,이테크건설,"79,300","-1,200","1.49","633,675,900","222,040,000,000"
041830,인바디,"21,500","-200","0.92","1,240,320,400","294,201,313,000"
119610,인터로조,"24,300","-350","1.42","1,574,014,200","267,707,000,700"
108790,인터파크,"5,000","-160","3.10","443,634,930","165,677,400,000"
051370,인터플렉스,"10,400","-450","4.15","1,049,553,400","242,605,708,800"
048530,인트론바이오,"42,450","-650","1.51","6,533,246,650","638,382,711,900"
065620,제낙스,"14,750","2,350","18.95","6,958,140,500","331,679,474,000"
095700,제넥신,"70,600","-2,000","2.75","10,414,668,200","1,442,159,190,400"
036420,제이콘텐트리,"4,560","100","2.24","10,524,863,400","656,954,557,920"
082270,젬백스,"11,600","-400","3.33","1,615,578,600","409,011,603,600"
036930,주성엔지니어링,"6,220","-230","3.57","1,380,302,830","300,110,098,640"
115450,지트리비앤티,"26,650","-1,550","5.50","11,612,792,700","652,707,456,050"
042000,카페24,"106,300","-3,500","3.19","6,219,768,700","1,002,472,461,100"
078340,컴투스,"125,000","-4,000","3.10","10,529,411,400","1,608,302,500,000"
214370,케어젠,"69,100","-1,800","2.54","2,299,975,900","742,341,300,000"
041960,코미팜,"20,050","-250","1.23","3,364,687,800","1,109,132,476,400"
241710,코스메카코리아,"30,450","-2,050","6.31","1,116,665,550","325,206,000,000"
029960,코엔텍,"7,310","-330","4.32","2,678,238,160","365,500,000,000"
102940,코오롱생명과학,"74,400","-100","0.13","4,649,568,600","849,079,286,400"
033290,코웰패션,"4,650","-105","2.21","1,084,272,330","420,826,088,100"
200130,콜마비앤에이치,"20,100","150","0.75","992,164,000","593,825,515,800"
083790,크리스탈,"17,650","350","2.02","5,993,934,300","713,023,535,100"
237880,클리오,"13,900","-550","3.81","1,820,572,100","235,853,740,500"
023160,태광,"11,550","-150","1.28","812,227,650","306,075,000,000"
044490,태웅,"9,880","-620","5.90","780,107,510","197,672,924,280"
095610,테스,"11,800","-350","2.88","2,671,046,550","233,265,066,800"
200230,텔콘RF제약,"8,030","-250","3.02","6,496,098,520","661,110,566,490"
108230,톱텍,"-","0","0.00","0","282,227,268,180"
064760,티씨케이,"39,700","-700","1.73","1,465,939,300","463,497,500,000"
034230,파라다이스,"18,400","-450","2.39","9,026,100,150","1,673,345,164,800"
214450,파마리서치프로덕트,"32,500","-1,150","3.42","743,574,000","307,652,052,500"
091700,파트론,"8,130","-50","0.61","1,331,898,460","440,291,613,300"
263750,펄어비스,"203,300","-4,600","2.21","15,811,181,900","2,631,311,900,000"
087010,펩트론,"23,300","-1,100","4.51","2,650,840,350","357,107,450,000"
043370,평화정공,"6,590","-80","1.20","285,651,170","138,390,000,000"
022100,포스코 ICT,"5,120","-90","1.73","3,039,021,100","778,417,812,480"
003670,포스코켐텍,"60,100","-3,600","5.65","71,898,235,600","3,550,107,000,000"
031980,피에스케이,"12,250","-50","0.41","2,247,181,400","249,062,149,000"
003380,하림지주,"11,150","-350","3.04","3,115,242,850","1,043,463,807,700"
013030,하이록코리아,"16,150","-300","1.82","456,260,850","219,853,696,800"
063570,한국전자금융,"9,240","250","2.78","3,897,193,080","320,126,526,720"
025770,한국정보통신,"9,130","-210","2.25","557,510,730","354,360,343,590"
030520,한글과컴퓨터,"12,650","-350","2.69","1,139,905,900","291,989,969,150"
045100,한양이엔지,"12,300","-150","1.20","590,999,800","221,400,000,000"
243070,휴온스,"68,000","-3,600","5.03","3,860,399,600","555,429,780,000"
084110,휴온스글로벌,"41,500","-2,650","6.00","2,093,745,850","431,778,408,500"
145020,휴젤,"370,800","-10,700","2.80","7,204,702,600","1,616,022,414,000"
