SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
110,32,80,3,10,1354.2782570541494,-50.57747916989509,50.40567951318459,986
150,32,76,3,40,1243.491272842,-59.52736047944074,60.86142322097379,534
150,32,74,3,30,1196.8686177986501,-56.21059469843503,61.82432432432432,592
50,20,80,3,15,1141.9024510717004,-54.80696182042543,56.22377622377622,715
150,32,74,3,10,1093.3304049733,-64.40461169230439,52.59549461312438,1021
130,32,74,3,20,1057.9075320747,-51.410595838980356,59.42028985507246,690
50,24,78,3,15,1026.0313748980002,-64.2884315785748,56.10738255033557,745
150,30,76,3,30,940.6964457798999,-63.72024264363997,60.42780748663101,561
130,32,72,5,10,927.09718408055,-49.69797851899066,53.783469150174625,1718
150,26,78,3,40,916.1924769742001,-55.71404717420929,61.08786610878661,478
150,30,74,3,30,912.8432755322004,-57.341912625682845,60.95890410958904,584
150,32,76,3,30,910.2474208154999,-62.52630561309106,60.95406360424028,566
70,22,72,3,15,909.9841961430498,-44.56387550934692,58.01242236024845,805
130,32,78,3,25,880.612479165,-56.10120782194855,58.89464594127807,579
130,32,76,5,10,876.54868460095,-47.232675082094424,51.634382566585955,1652
130,32,72,3,10,870.6559051815999,-51.9367221588457,51.54440154440154,1036
110,32,72,3,10,857.0433835423511,-59.40754449984924,53.98655139289145,1041
130,32,78,3,30,856.4942021587003,-57.97974283743429,59.22330097087378,515
90,28,72,7,10,846.8035275631502,-40.3577544076237,54.33476394849785,2330
150,32,78,3,10,842.1905874499503,-53.78288321324126,50.85599194360524,993
70,20,72,3,15,841.3516124730004,-49.64594707369276,58.59473023839398,797
50,22,80,3,15,832.4848517234998,-47.99517846642803,55.02063273727648,727
70,20,70,3,15,827.5865857698999,-50.4540797468755,59.27272727272728,825
150,28,78,3,30,826.4760824460499,-51.99606192699214,62.003780718336486,529
130,32,74,3,15,812.2607605538497,-64.65914033817675,58.21831869510665,797
50,20,70,3,15,809.3570336288499,-42.46090915531144,60.12121212121212,825
130,32,74,5,20,808.8431363587498,-48.40773012807511,59.442993907745866,1149
150,30,78,3,25,804.0717176405,-55.2831468878086,59.85790408525755,563
50,28,72,7,25,798.7722040794994,-37.114340977178415,61.60889470241988,1529
130,32,76,5,30,797.97318678195,-51.11808399245319,60.273972602739725,949
130,32,76,3,10,791.4442063875002,-61.07693962827605,51.43992055610725,1007
150,32,78,3,25,787.4152008721499,-51.55552818233482,59.8939929328622,566
110,32,78,3,10,776.2579376730502,-54.430344192359456,51.006036217303816,994
150,30,78,3,40,767.5382108547501,-45.18786427174955,60.46025104602511,478
70,24,72,3,15,764.47331142405,-54.775134628837705,58.119658119658126,819
70,30,74,3,40,760.76156189005,-69.56355409131272,62.862010221465084,587
150,28,76,3,40,757.8845040475502,-68.23647185022347,60.57142857142858,525
50,24,74,3,10,743.5348538390496,-65.78716133787835,54.223968565815326,1018
130,32,70,3,10,732.8496101854502,-48.63241954357544,52.824858757062145,1062
50,24,80,3,15,727.1484008797498,-48.68921061465885,54.69387755102041,735
110,30,72,3,10,725.5935799901004,-69.85012917690058,54.13461538461538,1040
150,30,76,3,40,724.6413304820998,-64.44418875985984,59.61904761904761,525
50,26,78,3,15,722.0391224815996,-62.65836765753631,55.053191489361694,752
50,22,72,3,10,716.0172349733999,-58.29372058129141,54.109589041095894,1022
50,32,74,3,15,671.3575576261499,-54.71122217670117,58.44471445929527,823
90,24,70,10,10,654.5934188168001,-51.41890513479584,55.10825439783491,2956
90,32,70,5,25,653.4738036875501,-45.80874457041064,62.81198003327787,1202
90,32,74,7,25,651.8874310516495,-39.79160708617204,60.91405184174625,1466
130,28,76,3,30,651.6975306806999,-62.52094843337549,60.397830018083184,553
150,28,76,3,30,651.28898631755,-69.50871824830077,60.32315978456014,557
50,22,78,3,10,650.4170244648502,-60.20899787225662,52.331606217616574,965
50,24,72,3,10,649.0111214256999,-63.24205213708834,54.90384615384616,1040
130,28,78,3,30,648.6450231869504,-55.79329284707942,59.53307392996109,514
150,32,76,3,10,642.7935238213502,-59.25779187785965,52.33366434955313,1007
90,28,74,7,30,633.6829490227503,-44.929644750169444,62.343404568901995,1357
50,20,72,3,15,630.6543938447498,-53.63697821284917,59.18114143920595,806
90,24,72,7,10,623.8455161601997,-60.42128167322349,54.11235955056179,2225
90,24,72,10,10,619.8970485980498,-52.27578825721933,54.52356381148951,2907
130,32,78,3,20,617.23767407385,-61.055981392144055,57.45682888540031,637
110,28,76,3,30,613.0227953554997,-58.43508356332093,62.16216216216216,555
110,32,72,7,20,612.5818507483998,-46.236503338864765,61.55234657039711,1662
130,24,76,3,10,610.4346088814502,-56.21185310613075,50.8646998982706,983
50,22,70,3,15,605.6047438789999,-40.10356127166022,59.401197604790426,835
130,32,76,3,20,604.35713415065,-56.18369499841235,58.11836115326252,659
90,32,72,7,25,603.0034551996504,-35.28429422321535,62.17252396166134,1565
90,32,70,3,25,600.1157982563004,-55.10890896968268,62.77777777777778,720
30,30,72,3,15,599.4751227126502,-61.05283017519697,60.47058823529412,850
90,24,70,7,10,599.1290960396,-60.525097781134626,55.62390158172232,2276
50,26,72,7,25,592.5616678385996,-39.07512287087776,60.742705570291776,1508
90,24,70,5,10,592.3753123119003,-60.73833922898649,54.31952662721894,1690
30,28,72,3,15,587.3623362065994,-57.991834407671796,60.451306413301666,842
130,32,78,3,15,586.8887208051503,-66.2182706038829,56.17529880478087,753
150,22,78,3,10,585.5415170571,-56.64975877494483,51.434643995749205,941
130,28,78,3,10,583.6145131127001,-46.79339551686208,50.201612903225815,992
130,32,74,7,30,583.0586383272502,-54.381827703400276,61.672727272727265,1375
90,32,78,7,10,582.6055269988501,-51.21608808447577,51.85185185185185,2268
130,28,80,3,15,579.7419624408996,-55.73830855670919,54.54545454545454,726
30,30,78,3,15,578.6530575175498,-61.68247407986986,56.516129032258064,775
110,32,74,3,15,575.3780067621,-53.155489527517105,58.291457286432156,796
130,30,78,3,30,573.9337078002499,-60.19596012692915,58.949416342412455,514
90,32,72,3,25,572.2920591933498,-52.06783270227868,60.83086053412463,674
50,32,72,5,25,572.1828273271499,-45.77397237397624,61.95939982347749,1133
150,28,74,3,30,570.5539868852501,-53.10256929454368,60.92943201376936,581
150,28,80,5,15,568.9096151261,-41.69128433261873,55.370524562864276,1201
90,28,72,7,25,566.6330123122503,-40.40978416290575,62.01044386422977,1532
50,20,72,5,15,566.5854997829996,-50.01227482108423,58.78693623639192,1286
50,20,74,3,15,565.7356078945497,-61.28471017126833,58.139534883720934,774
50,28,72,7,10,564.08154240035,-47.51214114697698,54.32733504712939,2334
130,26,78,3,10,563.9218892206001,-51.48497694711095,48.66803278688525,976
50,24,80,3,10,556.9597802498001,-67.9816471784633,50.311850311850314,962
90,30,80,5,30,555.8142139479501,-48.0339627473661,58.383594692400486,829
50,28,72,5,25,553.86827160765,-47.46627813041299,61.061151079136685,1112
110,32,76,3,20,548.8959833218,-54.95300177912606,59.27051671732523,658
130,28,78,3,15,548.8018538274,-57.61577400371078,56.2082777036048,749
130,32,78,5,10,548.0313859017001,-44.37123348814049,49.81458590852905,1618
50,20,76,5,15,547.3478916385496,-46.32302851640911,57.07236842105263,1216
90,32,78,5,10,546.4812221504002,-51.690148208508226,50.765462339252906,1633
30,32,80,3,20,544.6226101089502,-54.837944258653096,59.19003115264797,642
50,28,74,7,25,544.4060548520499,-42.88139559905329,60.62499999999999,1440
90,24,72,5,10,544.2656105568502,-47.68279167125571,53.46177001806141,1661
150,32,78,5,40,542.7198953953502,-46.71086037283363,59.75308641975309,810
70,26,72,3,15,541.2391646449498,-54.76524102404359,56.65024630541872,812
50,24,80,5,15,540.5839637473998,-46.38790844862608,54.072208228379516,1191
90,28,78,10,20,538.0855121293004,-39.19653025537283,58.64440078585462,2036
150,32,78,3,40,537.5808018087499,-62.53197492715685,60.24844720496895,483
130,32,80,3,15,532.6999333263499,-60.35277347234654,54.38356164383562,730
150,28,78,3,40,532.5515774428502,-63.536607096732986,60.618556701030926,485
70,28,80,7,20,532.0496689485003,-48.54661478781115,57.85413744740533,1426
90,32,70,10,40,529.8034929621502,-44.78397838610663,63.15055762081785,2152
130,28,72,5,10,529.4829644830999,-54.85788284446285,53.55648535564853,1673
50,28,72,5,20,528.2800904059501,-48.61322695998484,60.14975041597338,1202
50,22,76,3,10,527.4685251649996,-59.02814740244998,53.524004085801835,979
110,32,80,3,30,526.0775739297001,-48.97547548275067,59.561752988047814,502
130,28,76,5,30,525.1041881626002,-60.33623451978391,59.893048128342244,935
90,30,72,7,25,523.217684606,-38.82250753910562,61.97274497079819,1541
30,28,78,3,20,520.1263928197,-60.60662810984492,59.57446808510638,658
130,22,76,3,10,518.8311165246,-47.1464860388442,51.0880829015544,965
130,30,78,3,40,517.180628678,-55.63630401258516,61.42557651991615,477
50,24,72,7,25,516.1074657018999,-40.93794684349834,61.266666666666666,1500
