SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
70,26,72,3,15,5777.41102548225,-53.42087619508119,63.44873501997337,1502
70,28,72,3,15,5110.145039695049,-62.59294138700473,63.65448504983389,1505
110,20,74,3,30,4893.0222413516485,-43.249729274435445,64.45739257101238,1373
110,20,74,3,40,4856.123341575701,-43.22009674018795,64.42658875091307,1369
70,24,72,3,15,4181.583364472698,-52.30833480730759,63.30213903743316,1496
70,30,72,3,15,4068.7807842848542,-62.59946595498862,63.83543463835435,1507
70,22,72,3,15,3822.7047642651487,-52.314780406297736,63.34448160535116,1495
70,24,74,3,10,3814.09402703245,-51.5373040949222,62.2360248447205,1610
110,20,74,3,25,3797.4697986,-45.13223623271701,64.22351233671988,1378
70,20,72,3,15,3773.983183623698,-52.57875412106942,63.50267379679144,1496
70,32,72,3,15,3744.2849645801007,-62.329787889029205,63.76907763769077,1507
110,24,74,3,25,3727.127213886201,-47.128057242641844,64.04332129963899,1385
90,24,74,3,25,3718.177764723949,-39.81843251024514,64.10071942446042,1390
110,24,74,3,30,3674.253877585901,-45.31344066593944,64.0319071791153,1379
110,24,74,3,40,3645.564285492752,-45.28726340219347,63.97379912663755,1374
110,22,78,3,15,3577.82743379595,-47.14250774017545,64.10066617320503,1351
110,22,74,3,30,3562.7751855161487,-45.31422617596455,63.901018922852984,1374
110,24,74,3,20,3550.411663419752,-58.27280058827997,64.12811387900355,1405
70,28,76,3,20,3548.876948325651,-47.368735530572614,63.83601756954612,1366
110,22,74,3,40,3534.6230401233997,-45.28471426286368,63.84222059897735,1369
90,22,74,3,25,3472.1075683712493,-45.484526042350105,63.91901663051338,1383
110,20,74,3,20,3454.1830641245483,-56.19648354405338,64.46991404011462,1396
110,20,78,3,15,3450.487061985448,-44.503404646045,64.43452380952381,1344
70,26,74,3,15,3388.894012660302,-47.82633802729267,62.36187845303868,1448
70,26,74,3,20,3362.8266324735996,-51.331068164400975,63.083451202263085,1414
70,24,72,3,20,3311.5883337585983,-48.30293818025791,63.58658453114305,1461
70,28,72,3,20,3305.8933030604003,-53.04182824242096,62.909836065573764,1464
90,24,74,3,30,3232.864975483849,-41.5271065778259,63.91304347826087,1380
110,22,80,3,10,3208.8581946108006,-51.360916567650364,62.431693989071036,1464
70,28,78,3,15,3163.1142322432006,-57.17084721792389,62.63001485884101,1346
110,26,74,3,20,3147.21867803215,-57.318140673466445,64.10803127221037,1407
90,20,74,3,25,3106.633507453201,-45.48353647869841,63.95939086294417,1379
110,26,74,3,25,3093.929746978399,-48.620253653744,63.892908827785824,1382
110,22,74,3,25,3091.4431649913518,-47.12988623982522,63.68917937545389,1377
110,26,74,3,30,3031.1973877181517,-46.85730777976843,63.85454545454545,1375
110,26,74,3,40,3006.9727168193504,-46.829951605069695,63.7956204379562,1370
70,28,74,3,20,3006.4792055541966,-49.90593832110305,63.02342086586231,1409
70,26,72,3,20,3004.3047609916002,-48.62435298259751,63.52459016393443,1464
110,22,74,3,20,2996.8735085281014,-58.27190403949205,64.02002861230329,1398
70,24,74,3,15,2977.1454906391496,-42.67985599483464,62.56944444444444,1440
30,22,80,3,15,2963.175354466801,-49.35033422058297,62.69230769230769,1300
70,26,76,3,20,2954.5596644014013,-50.18100755452264,63.8095238095238,1365
90,20,72,3,20,2933.4615951089495,-49.324094345089094,63.96705559368565,1457
90,22,74,3,30,2904.798208662102,-47.031258463708966,63.67614879649891,1371
90,22,72,3,20,2868.049871648601,-54.34435482772151,63.692518874399454,1457
90,24,72,3,20,2844.07608461785,-54.34504901680673,63.748290013679885,1462
70,20,72,3,25,2810.7814172186017,-49.80797898486248,63.988919667590025,1444
110,24,80,3,10,2788.2109166725004,-51.364184664962195,62.389078498293514,1465
70,32,76,3,20,2777.300989579548,-46.89472988947308,63.52247605011054,1357
110,22,76,3,25,2771.120579527951,-53.258400260755856,64.45461479786422,1311
70,24,76,3,20,2680.774707046751,-46.834773206184224,63.87665198237885,1362
70,30,76,3,20,2661.8315150935023,-47.0709409296807,63.56932153392331,1356
90,24,74,3,40,2644.688902948799,-47.089808203750614,63.63636363636363,1375
110,20,72,3,25,2628.6883137570003,-55.11071779963236,64.3298969072165,1455
110,20,76,3,25,2613.7487085655507,-53.1815991228689,64.65648854961832,1310
70,26,78,3,15,2606.09778176125,-57.72940850461967,62.22056631892697,1342
70,28,72,3,25,2603.317934800351,-53.236330126070776,63.14699792960663,1449
110,24,76,3,25,2598.1409729096995,-53.254113598642085,64.34049079754601,1304
110,28,74,3,40,2595.15128910115,-47.24270807629236,63.48396501457726,1372
110,22,72,3,25,2591.390013842251,-59.431255059631326,64.21197522367515,1453
110,22,80,3,30,2589.5448925097494,-58.98820797605847,64.23841059602648,1208
30,20,80,3,15,2581.067984337751,-49.83361398093347,62.49033255993813,1293
70,24,76,3,25,2568.7473093022513,-47.462815308712685,63.45291479820629,1338
70,22,72,3,20,2559.542598372251,-48.53968227510085,63.38609772883689,1453
110,22,76,3,10,2556.8768212395,-52.76690387540847,61.593729588504246,1531
90,24,74,3,20,2544.693569488102,-45.09579539383759,63.914590747330955,1405
70,26,74,3,10,2534.2376080715503,-54.58559947697823,61.67290886392009,1602
110,20,80,3,30,2534.0242370195992,-59.885949453458466,64.14309484193012,1202
110,24,76,3,20,2530.4054305085483,-61.926309670477245,64.57229371688115,1321
110,24,78,3,15,2529.9548053743492,-58.408667411542545,64.33878157503715,1346
110,28,74,3,20,2529.068159084951,-57.65095316404374,63.7650389242746,1413
70,22,72,3,25,2524.2416149707997,-49.52741455620684,63.63004172461753,1438
90,20,74,3,30,2510.6349014757006,-47.02970322789485,63.689604685212295,1366
110,24,80,3,30,2502.5448167475006,-58.74374302656854,64.57473162675474,1211
70,32,74,3,20,2499.318367585201,-49.51030434136622,62.74928774928775,1404
70,32,72,3,20,2499.1242081096007,-52.72085114909738,62.747778537252216,1463
130,20,72,3,40,2479.9524276040506,-56.771090092955646,63.64912280701754,1425
70,24,78,3,15,2478.4969615964487,-55.44266648637609,62.34153616703952,1341
70,22,76,3,25,2475.214561797952,-48.522259811394534,63.32335329341318,1336
