rsi_window,buy_threshold,sell_threshold,sma_window,return,mdd,win_rate,trades
10,35,90,200,379.33697397905,-59.0011958217911,50.67497403946002,963
10,35,80,200,317.84070483275,-60.98840579648645,50.43144774688398,1043
10,35,80,100,304.00351320330003,-58.104100125564415,50.04830917874396,1035
7,15,85,200,292.40898140375,-54.02583427938402,55.816226783968716,1023
10,25,90,150,291.8526013686,-59.749635582863604,49.34354485776805,914
14,35,75,200,285.8087943134999,-59.91052371693745,50.56065239551478,981
12,35,80,200,285.39619132695,-59.30344686963702,49.94903160040774,981
9,35,90,200,274.5309982012501,-59.33418629480296,48.97959183673469,980
14,35,75,150,266.86119204105,-48.07474639184641,48.62104187946885,979
14,30,80,200,265.5978287808001,-45.06445775731962,49.61154273029967,901
10,25,85,150,251.6172814431999,-58.001605054929385,50.74786324786324,936
14,35,90,200,246.97121724644995,-51.32912589984875,50.43010752688172,930
10,25,80,150,245.52353136325013,-59.60117965476305,50.81799591002045,978
7,15,90,200,240.75741558335005,-58.22912428533225,53.17377731529657,961
14,35,80,150,230.1739483985001,-53.9959991287678,48.89589905362776,951
14,30,85,200,228.88218222819995,-46.27289205688421,50.39370078740157,889
12,30,90,200,217.6573448299001,-58.26030501646058,49.50819672131148,915
10,25,90,200,215.9935127668999,-63.71007689524968,51.94805194805194,924
12,35,75,200,210.39399285504993,-54.68794390446769,50.82604470359572,1029
7,30,85,200,209.00482048495007,-66.17687078446441,53.96260017809439,1123
7,15,80,200,201.3406648963,-62.12197735684296,56.721915285451196,1086
7,20,85,200,200.16296562744986,-68.24965842060669,54.911131898971,1069
14,30,75,200,197.16788247284995,-44.96080075074759,49.78165938864629,916
10,30,80,100,192.87257396014996,-63.377062404074046,50.943396226415096,1007
10,20,90,200,192.53334213614988,-58.80011275000056,51.39211136890951,862
10,25,80,200,185.7791101213502,-66.19516719715486,52.293577981651374,981
14,35,80,200,184.64724288364997,-60.73049054260745,48.68004223864836,947
7,10,80,200,183.8280351615499,-52.7862992157335,55.70264765784114,982
7,10,75,200,183.20164737509992,-51.64694768663411,57.91469194312796,1055
12,30,85,200,182.6223519255501,-60.712584503059205,50.9698275862069,928
8,35,90,150,180.16894421765,-58.400225796007376,50.49900199600798,1002
8,20,90,200,175.04017277050008,-60.4555242069861,49.68354430379747,948
14,35,85,200,174.53208890215004,-58.708819130467894,48.723404255319146,940
14,35,70,200,171.24584094190004,-61.16213192179685,50.58479532163743,1026
8,35,85,200,170.43441400495004,-63.29864963248914,51.652502360717655,1059
10,35,85,200,170.32799694629998,-59.61426904430489,49.18864097363083,986
10,20,85,200,169.92214409380017,-58.098125365980245,52.114285714285714,875
9,15,90,200,167.83156102084993,-45.75075477609396,50.91799265605875,817
14,30,90,200,167.74243175074997,-46.828844474973764,50.17026106696936,881
10,25,85,200,167.2289616172499,-66.48256385741793,49.94697773064687,943
7,30,75,200,164.31419831399995,-63.194813307793176,58.35866261398176,1316
12,35,90,200,162.90189839600004,-61.27709270295547,50.05313496280552,941
7,30,80,200,162.89595284135018,-70.81488613134248,55.88723051409619,1206
6,35,85,200,160.3821800765,-62.89306219102044,53.75816993464052,1224
8,15,90,200,156.41001385759995,-54.19540929654784,51.33928571428571,896
10,30,80,150,156.31119573094995,-65.91464133254976,49.017681728880156,1018
8,35,80,150,154.7659349968499,-68.38364659970756,54.6583850931677,1127
3,15,90,200,150.74072267340014,-42.55334314112159,60.02921129503408,2054
9,15,80,200,150.2203093971501,-46.93978629831544,52.12888377445339,869
8,25,90,200,149.61765269489996,-61.10667773956837,49.23076923076923,975
12,35,80,150,149.56382291525006,-63.11624332301816,47.357723577235774,984
8,15,85,200,148.93402957265005,-56.3020275048982,52.96655879180151,927
12,35,85,200,148.67256065124997,-62.75175794575774,46.89800210304942,951
14,35,70,100,148.66052262579998,-53.49766312067833,49.35579781962339,1009
7,25,75,200,148.1956376177501,-70.20067245455427,59.44272445820433,1292
8,15,80,150,147.6151818605499,-55.6865712394346,55.73770491803278,976
14,20,80,150,146.99139567795015,-34.974856231737114,49.81818181818182,550
8,25,75,200,146.8875958696,-59.54061417206403,56.70367207514945,1171
12,30,80,150,146.86907418330009,-52.47337407024691,48.35978835978836,945
10,10,80,200,145.72421478689995,-35.46359754638542,53.63457760314342,509
5,15,75,200,145.55380401635,-61.763461738585846,62.09773539928486,1678
12,35,85,150,145.51979055890004,-66.88185245375324,48.07090719499479,959
7,15,80,150,145.21954690670006,-54.46458625974623,55.93376264949402,1087
3,35,90,200,144.25660200575007,-49.86668683112123,59.98085208233604,2089
3,10,90,200,142.78133317149985,-48.72779029060668,59.77295162882527,2026
10,30,80,200,142.22588575975004,-69.21239275924526,49.608610567514674,1022
10,30,90,150,141.81390570434993,-63.3499202943916,47.36286919831223,948
5,30,80,200,141.67846927915,-60.67267464128796,61.712846347607055,1588
10,15,90,200,141.6081765677001,-47.16862084391285,48.36512261580381,734
10,30,90,200,140.83849522394996,-58.547913057900026,48.21052631578947,950
7,15,85,150,140.78228558869998,-53.525532896010695,53.90702274975272,1011
3,25,90,200,139.3554146178499,-45.1796765036629,59.95192307692307,2080
5,15,80,200,138.4439211417999,-61.94105240924318,61.3941018766756,1492
12,35,75,150,138.3443713790999,-65.20875028322509,50.0,1026
9,35,85,200,137.53678021270002,-61.73300404712495,49.01185770750988,1012
8,20,80,200,136.8177393629999,-67.52291017469935,53.735632183908045,1044
9,10,70,200,135.99222550135005,-40.665819609298296,55.861070911722145,691
9,25,90,200,135.79001582384996,-57.81781569316655,49.36305732484077,942
10,10,90,200,135.76203741454992,-34.92198986847275,51.012145748987855,494
10,10,70,200,132.81330652144993,-35.33007415894483,57.89473684210527,532
8,35,90,100,132.295334841,-65.0414804692836,48.90438247011952,1004
10,10,75,200,131.58506646929987,-35.92530520362692,55.96153846153846,520
10,35,75,200,130.27912167514995,-61.897945490032534,52.7124773960217,1106
12,10,90,200,128.87151549144997,-18.535644736028246,52.89855072463768,276
7,15,80,100,128.3853623654001,-61.83169381046844,56.03367633302152,1069
14,20,75,100,128.30287357385,-24.619741385266252,47.77070063694268,471
6,30,85,200,128.01497601860015,-64.60700640231069,53.71900826446281,1210
9,20,80,200,126.91713635759987,-62.158747541063086,50.92783505154639,970
3,20,90,200,126.76546770870002,-40.2634173888127,60.09685230024213,2065
10,35,85,100,124.97346995389992,-60.74557004881592,48.68421052631579,988
7,35,80,200,124.47838862544991,-65.71100384207547,54.69522240527183,1214
10,25,80,100,123.90996553240004,-65.08418063241386,50.63157894736842,950
5,30,90,200,123.90919079300006,-59.678625753205715,53.55987055016181,1236
10,35,90,150,123.71001588704998,-69.64847285643586,47.9253112033195,964
7,25,90,200,121.50998761120002,-69.33695535602628,50.489236790606654,1022
5,15,85,200,121.20054377840002,-55.816790821414486,57.12121212121212,1320
7,15,90,150,120.99219834409993,-57.39771520957342,51.67364016736402,956
3,30,90,200,120.77559531885016,-50.10821064583103,59.468599033816425,2070
4,25,80,200,120.74367252804996,-61.24487876670924,62.23486808070356,1933
7,15,75,200,120.34483103104998,-64.8986262735373,58.169375534645,1169
12,15,90,200,119.80957407715,-36.950337596925785,49.90403071017274,521
8,35,90,200,119.4060777046,-57.83345507689537,48.699999999999996,1000
4,10,80,200,119.17309003895005,-56.92290541905752,62.112139357648346,1837
5,20,80,200,118.51829658039992,-61.72353269179583,60.693263570961406,1529
10,10,85,200,118.1455637861001,-35.76788310968252,52.104208416833664,499
6,25,90,200,117.43717166874998,-64.1448952393793,50.727272727272734,1100
