RSI_W,SMA_W,Buy,Sell,Hold,Pos,Ret,MDD,WR,Trades
3,30,20,70,10,3,-27.71455899094939,-81.56497458574616,57.621145374449334,1135
3,30,20,70,10,5,-26.71960294809933,-68.97401006579548,58.49973016729627,1853
3,30,20,70,10,7,-20.26340968439946,-60.67548963271398,58.483189992181394,2558
3,30,20,70,10,10,-41.07931260084937,-68.99358381117064,57.15928694652099,3478
3,30,20,70,15,3,30.90518906935045,-60.724522826914,58.508604206500955,1046
3,30,20,70,15,5,30.302316423600683,-63.457535505877026,60.18518518518518,1728
3,30,20,70,15,7,-16.906016574149284,-61.69542857064978,59.2310942120828,2367
3,30,20,70,15,10,-40.006258578849454,-65.93407352297686,58.69297163995068,3244
3,30,20,70,20,3,85.29161377840036,-68.04178997608597,59.78473581213307,1022
3,30,20,70,20,5,57.08385316740063,-55.61278424725351,60.851567120047314,1691
3,30,20,70,20,7,-22.58719903529951,-58.885948409620745,59.95661605206074,2305
3,30,20,70,20,10,-19.087351129899698,-58.02209462768471,59.60932577189666,3174
3,30,20,70,25,3,-18.220752544299636,-78.12485517875997,59.21450151057401,993
3,30,20,70,25,5,54.72604186890053,-62.75979657489481,60.81242532855436,1674
3,30,20,70,25,7,-9.736893554249427,-57.48044489543064,60.1138353765324,2284
3,30,20,70,25,10,-13.592326703199475,-53.61008846199902,59.7213426219126,3158
3,30,20,70,30,3,-16.4097737959497,-75.16785435485322,59.01309164149043,993
3,30,20,70,30,5,62.23339411130044,-61.791382125367754,60.95808383233533,1670
3,30,20,70,30,7,-10.182105540549335,-57.15237368052408,60.06151142355009,2276
3,30,20,70,30,10,-13.108183645299743,-54.50547707084501,59.599491417673235,3146
3,30,20,70,40,3,-10.798352194599802,-75.06025054846124,59.21450151057401,993
3,30,20,70,40,5,56.488805836350586,-62.02268334313619,60.887822435512895,1667
3,30,20,70,40,7,-10.027142624099417,-57.0577925868082,60.00879894412671,2273
3,30,20,70,40,10,-12.578000040999527,-54.51563924440037,59.7456279809221,3145
3,30,20,72,10,3,-23.976448892449376,-79.5586240781373,58.93019038984587,1103
3,30,20,72,10,5,-3.9844020752994758,-63.24415654364063,58.83002207505519,1812
3,30,20,72,10,7,-42.90822246369942,-69.54584330690236,58.121725110842405,2481
3,30,20,72,10,10,-28.186783025549534,-68.04505291615793,57.59789596727061,3422
3,30,20,72,15,3,21.646937821950686,-60.4113805170143,59.9601593625498,1004
3,30,20,72,15,5,122.51856516260075,-48.41115890571515,60.88252832438879,1677
3,30,20,72,15,7,8.10801111655075,-58.14037171625734,59.77361776229865,2297
3,30,20,72,15,10,-35.01580618904949,-66.02026933225882,58.951689295863595,3167
3,30,20,72,20,3,125.54689449040093,-64.59739715046013,61.40529531568228,982
3,30,20,72,20,5,130.88613234140044,-50.16414916983008,61.63714111178986,1637
3,30,20,72,20,7,-11.909973842199562,-58.83883633248617,60.40089086859688,2245
3,30,20,72,20,10,-31.00007199119973,-65.0563871553932,59.56001294079586,3091
3,30,20,72,25,3,10.914411189500385,-67.26737289234151,60.8604407135362,953
3,30,20,72,25,5,105.25403860460081,-51.83474272386061,61.62935323383084,1608
3,30,20,72,25,7,5.955529092900402,-54.29063823771653,61.00090171325518,2218
3,30,20,72,25,10,-1.6065159160494114,-52.71180618427264,60.00650829808005,3073
3,30,20,72,30,3,0.49213428125038927,-67.4166525152682,60.71428571428571,952
3,30,20,72,30,5,103.06043946945076,-50.40777597293153,61.73533083645443,1602
3,30,20,72,30,7,-8.259422053799437,-58.05141122848633,60.81818181818181,2200
3,30,20,72,30,10,-7.7762726945497125,-54.64196984906694,60.03267973856209,3060
3,30,20,72,40,3,9.775047429350403,-67.33001413321308,61.13445378151261,952
3,30,20,72,40,5,55.14402678025079,-51.31305042119653,61.639549436795996,1598
3,30,20,72,40,7,-11.335132821049587,-59.464306460657966,60.67518248175182,2192
3,30,20,72,40,10,-10.622782058749436,-55.26256816626657,60.02616944717043,3057
3,30,20,74,10,3,-32.5404477023494,-78.85238201473491,58.08270676691729,1064
3,30,20,74,10,5,-2.572274406699504,-58.492008224315924,58.93665158371041,1768
3,30,20,74,10,7,-46.65116799879948,-69.72646459714136,57.231149567367126,2427
3,30,20,74,10,10,-35.81908969084967,-71.73763789701961,56.92995529061102,3355
