RSI_W,SMA_W,Buy,Sell,Hold,Pos,Ret,MDD,WR,Trades
3,30,20,70,10,3,-56.520375961999356,-79.21200271541508,58.35222978080121,1323
3,30,20,70,10,5,-55.344177643899364,-78.83438012799283,58.44939647168059,2154
3,30,20,70,10,7,-53.178145831249445,-72.94681638408044,57.79597407028319,2931
3,30,20,70,10,10,-52.388990625199405,-69.24287191099285,57.7590607452782,3918
3,30,20,70,15,3,-68.73457630029954,-85.00158752758273,58.957106812447435,1189
3,30,20,70,15,5,-30.343384800649297,-67.23012335844074,59.48406676783004,1977
3,30,20,70,15,7,-49.86142379094956,-72.36546503985883,59.15336056442629,2693
3,30,20,70,15,10,-44.611333936149535,-65.48130680468512,58.32187070151307,3635
3,30,20,70,20,3,-60.22404882789976,-79.62549131651811,58.64793678665497,1139
3,30,20,70,20,5,-47.80025239299967,-77.06532207174833,60.01059322033898,1888
3,30,20,70,20,7,-41.34252129664959,-73.16115249626223,59.433601224646004,2613
3,30,20,70,20,10,-46.69322807459968,-67.05088150716396,58.70422535211267,3550
3,30,20,70,25,3,-62.57961821824951,-81.49166417090119,58.577777777777776,1125
3,30,20,70,25,5,-47.358628436599446,-75.47325299698416,59.6903363587827,1873
3,30,20,70,25,7,-33.194961544499336,-70.04789828299822,59.52566096423018,2572
3,30,20,70,25,10,-34.63784986954972,-67.23472490350873,58.83357041251778,3515
3,30,20,70,30,3,-70.21920575104971,-83.9328977301866,58.52782764811491,1114
3,30,20,70,30,5,-55.55265821564961,-78.05732776383397,59.30922827846735,1853
3,30,20,70,30,7,-29.43613946594955,-69.35253505323101,59.67174677608441,2559
3,30,20,70,30,10,-42.91303683209945,-69.33147598360812,58.63545532400799,3503
3,30,20,70,40,3,-67.93403674559956,-82.3536214399398,58.415841584158414,1111
3,30,20,70,40,5,-60.54307798059963,-79.05758648131808,59.154929577464785,1846
3,30,20,70,40,7,-32.952206078249546,-70.30693891263029,59.59279561472201,2554
3,30,20,70,40,10,-46.82335034814966,-70.14881070110047,58.60491709548313,3498
3,30,20,72,10,3,-46.215467566949556,-74.80069639625323,58.43045843045843,1287
3,30,20,72,10,5,-32.944403840099504,-72.48287157669508,59.07794676806084,2104
3,30,20,72,10,7,-49.148626315199465,-71.49507300060785,58.21989528795811,2865
3,30,20,72,10,10,-56.684537007599566,-68.86096887621773,57.92349726775956,3843
3,30,20,72,15,3,-66.1314397375995,-84.86458613119575,58.45749342681859,1141
3,30,20,72,15,5,-55.16499026149964,-79.65971665439857,59.64360587002096,1908
3,30,20,72,15,7,-62.231730248449594,-78.41985045861169,59.53022718521371,2597
3,30,20,72,15,10,-43.62342345994943,-68.12874549854035,58.866647871440655,3547
3,30,20,72,20,3,-68.56292712564948,-81.91088569036816,58.58585858585859,1089
3,30,20,72,20,5,-46.87459562164948,-78.74934002516495,60.65395095367847,1835
3,30,20,72,20,7,-48.74161173114956,-75.84750354109715,60.26962727993656,2522
3,30,20,72,20,10,-45.09601698279968,-68.19696204159548,58.99154765374527,3431
3,30,20,72,25,3,-64.95066196319961,-79.1434707909879,58.96007428040855,1077
3,30,20,72,25,5,-38.52184478814954,-74.64595973624894,60.53067993366501,1809
3,30,20,72,25,7,-30.261019713749526,-71.6128062603613,60.56112224448897,2495
3,30,20,72,25,10,-38.47410895734935,-64.18827219437136,59.301643192488264,3408
3,30,20,72,30,3,-70.68746472939955,-83.2792191124533,58.77934272300469,1065
3,30,20,72,30,5,-44.48559233544953,-76.12460093608384,60.60267857142857,1792
3,30,20,72,30,7,-44.64758834214963,-76.32918130361911,60.3896103896104,2464
3,30,20,72,30,10,-38.23091548924932,-63.55435188862922,59.121721190686706,3393
3,30,20,72,40,3,-71.32878865279966,-83.66769047526817,58.6239396795476,1061
3,30,20,72,40,5,-45.72859670139945,-77.20363881523797,60.62465142219744,1793
3,30,20,72,40,7,-45.9735864258496,-76.95588219452586,60.4310695404636,2459
3,30,20,72,40,10,-36.10392287999941,-62.183518648279346,59.21557062813329,3391
3,30,20,74,10,3,-30.452907827549367,-66.47949622712191,58.32000000000001,1250
3,30,20,74,10,5,-37.4989928561995,-74.2502525445744,58.14067879980325,2033
3,30,20,74,10,7,-55.412144883399606,-74.95892107671172,56.98924731182796,2790
3,30,20,74,10,10,-58.138496889199345,-71.56516789957116,57.780138077535845,3766
3,30,20,74,15,3,-44.85448422379951,-75.973236580574,59.42549371633752,1114
3,30,20,74,15,5,-72.4363997002497,-81.57837828947481,58.51239669421487,1815
3,30,20,74,15,7,-66.18324362999968,-81.07369994748956,59.09090909090909,2508
3,30,20,74,15,10,-51.74786496219952,-67.74097953821054,58.15911730545877,3444
3,30,20,74,20,3,-59.196871818649456,-74.77908180733056,59.26622765757291,1063
