SMA,Buy,Sell,Hold,MaxPos,Return,MDD,WinRate,Trades
100,15,80,50,3,1919.241814370601,-56.078181189103674,63.620386643233736,1138
120,15,80,30,3,1850.6196707807503,-65.41882482235549,63.020833333333336,1152
120,15,80,50,3,1686.4205802793,-63.78613902594229,63.11188811188811,1144
120,10,80,30,3,1657.1552170848488,-60.87517491338167,63.46830985915493,1136
120,25,70,30,3,1646.41607749695,-57.38482714218923,62.94820717131474,1506
100,10,80,30,3,1641.7275347548991,-54.506468707672,63.59649122807017,1140
120,25,80,20,3,1639.9990199443494,-63.74622325086645,63.12292358803987,1204
100,25,80,50,3,1632.251303259751,-55.3814059894802,63.896103896103895,1155
100,10,80,50,3,1618.9462432808482,-55.121321349358965,63.572060123784254,1131
120,25,80,50,3,1614.2774504425488,-63.082090308540764,63.35944299390774,1149
120,30,70,50,3,1566.4927726562005,-56.56240680726734,63.02186878727635,1509
120,25,70,50,3,1542.5151313454012,-57.38184087752218,62.88180610889774,1506
120,30,80,50,3,1525.3066908124488,-60.74816108671429,63.25459317585301,1143
50,15,80,15,5,1477.3856651727494,-40.265054628458955,61.601543656536414,2073
120,30,80,20,3,1448.0443007491504,-61.125894400040856,63.030807660283095,1201
120,10,80,50,3,1436.0515015564001,-62.87148650509645,63.47517730496454,1128
120,30,70,30,3,1429.781264654501,-56.559594335985466,63.063660477453574,1508
50,25,70,20,3,1387.7818111664499,-63.44234020525808,63.24675324675325,1540
100,5,70,20,3,1368.1264707272505,-62.835912688491824,63.710223425863234,1477
120,20,70,30,3,1359.6358329996986,-60.53411548190009,62.96791443850267,1496
100,20,80,50,3,1355.99420971975,-59.73361490787463,63.27782646801051,1141
120,20,80,50,3,1355.9092563906504,-65.46904917985536,62.7947598253275,1145
50,10,80,10,5,1333.2699720295498,-46.42514325308264,60.170212765957444,2350
100,15,80,30,3,1332.1514328101505,-59.877475813696,63.4061135371179,1145
50,20,70,20,3,1329.3522671266994,-58.69998320115833,63.03630363036304,1515
50,25,70,50,3,1317.8163235689492,-62.53090946682145,63.31360946745562,1521
200,30,80,20,3,1316.2526789816502,-68.57862683204688,63.68948247078464,1198
120,15,70,30,3,1313.6064184397496,-57.954727900466565,62.85140562248996,1494
50,10,80,30,5,1311.816152995501,-46.91744081486212,62.66456029489205,1899
120,15,80,20,3,1304.6386011627,-68.16336894091557,62.77128547579299,1198
100,5,70,50,3,1298.1329316965496,-62.719044326245445,63.661202185792355,1464
100,25,80,30,3,1298.0517929440496,-59.84219228684823,63.683304647160064,1162
120,20,80,20,3,1284.3434319590995,-69.64638207303689,62.7287853577371,1202
120,25,80,30,3,1281.5700540575003,-69.68987978387436,62.911611785095324,1154
100,25,80,20,3,1280.4181911771987,-58.54441538277615,63.90977443609023,1197
200,25,80,50,3,1273.1488210689508,-66.20845432885307,63.59649122807017,1140
