SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
130,20,78,4,30,2613.239961583052,-40.68232709646154,63.691931540342296,1636
130,20,78,4,40,2493.381258246849,-40.91461557359944,63.69230769230769,1625
90,24,72,4,25,2426.0584016814496,-42.06453686409484,64.17364016736403,1912
90,20,72,4,25,2363.18661911285,-47.72760002876565,64.57894736842105,1900
90,22,72,4,25,2357.6739785478,-48.52814054047197,64.51781970649894,1908
90,28,72,4,20,2315.938880924001,-43.80131088913967,64.08120770432066,1921
70,24,74,4,10,2174.9546288739016,-42.5198659270708,62.0640904806786,2122
90,30,72,4,25,2170.0450815294007,-41.31015280581628,64.34918975431259,1913
90,24,72,4,20,2107.13095675635,-44.18706801853531,63.854166666666664,1920
90,26,72,4,25,2041.076858421149,-42.0736693822498,63.95165528113505,1903
130,20,78,4,15,2012.8645097041997,-42.80676777758652,62.55025847214245,1741
90,22,72,4,20,2005.6906935323507,-48.542319021217374,63.9832723470988,1913
90,24,76,4,30,1968.9977488358004,-43.616659278557194,63.01136363636364,1760
130,22,78,4,30,1953.2305866243512,-47.18213630183564,63.1578947368421,1634
90,30,72,4,20,1945.8359557165497,-43.48061078330606,64.08120770432066,1921
70,22,74,4,10,1943.7364478283996,-40.18926745267615,62.008526764566554,2111
90,20,72,4,40,1937.2866925866006,-53.3230224416271,64.46808510638297,1880
70,22,78,4,15,1935.7262518338512,-43.143409035073844,62.01814058956916,1764
90,32,72,4,25,1926.5212838550997,-42.3270845845405,64.14405010438414,1916
90,22,76,4,30,1913.1006906268492,-44.108403864313495,62.97142857142857,1750
30,32,80,4,10,1908.7119548031,-51.38185358544496,60.94377510040161,1992
90,22,72,4,10,1892.48153395135,-44.36517142513396,62.378528459046734,2161
30,22,80,4,10,1889.0403823605002,-54.50026562343915,60.39654295882054,1967
90,24,76,4,40,1888.3468589526003,-47.751942195191205,63.08304891922639,1758
90,24,72,4,10,1881.9606023166014,-45.76105511041898,62.24584103512015,2164
150,32,78,4,10,1877.8052960121013,-48.071526547940664,60.27678113787801,1951
90,20,72,4,30,1872.3343718907004,-52.804932925146744,64.41848114710568,1883
90,28,72,4,25,1848.6304003624493,-42.46262110353396,63.98527865404837,1902
50,32,80,4,15,1844.4225523361013,-48.6193900745139,62.55841121495327,1712
50,30,80,4,15,1843.2652789147503,-48.203376281946134,62.5,1712
90,20,72,4,20,1833.0011092842003,-47.405649774872906,63.82754994742377,1902
50,20,80,4,15,1818.3435932950995,-49.091260436319864,61.22569239835003,1697
90,22,76,4,40,1805.3910179335003,-48.204798079374925,63.07956496851745,1747
130,22,78,4,40,1802.4814457299499,-44.74497931145258,63.161131611316115,1626
90,26,76,4,40,1799.928047658301,-47.719461426035394,62.920707358813466,1753
90,26,76,4,30,1791.8713621343493,-43.63916100847476,62.770809578107176,1754
90,26,72,4,20,1790.9018799944004,-44.14285476239375,63.63160648874935,1911
90,32,76,4,40,1785.447700330899,-45.91584362271842,62.884834663626,1754
90,26,72,4,40,1776.7523206858502,-44.21526449862564,63.81053751995742,1879
90,32,76,4,30,1772.6975851132004,-46.12065657621366,62.75626423690205,1756
90,20,76,4,30,1770.8030533587494,-41.12951464840753,63.00345224395857,1738
70,24,78,4,15,1769.4318463689,-41.53779084308292,61.664779161947905,1766
90,28,76,4,30,1759.2642934060495,-43.96479478903931,62.68571428571429,1750
90,24,72,4,40,1743.3278228626502,-49.529967948847236,63.99787910922588,1886
110,22,72,4,40,1719.2406439204483,-52.84139861300019,64.08488063660478,1885
110,22,74,4,25,1716.4263445995502,-44.70471494470612,63.687150837988824,1790
70,20,78,4,15,1702.4248892723,-42.975604438668306,61.731207289293856,1756
90,30,76,4,30,1699.6584346555508,-43.602190974060214,62.87015945330297,1756
50,24,72,4,20,1697.2304676404506,-56.683096986616064,62.487046632124354,1930
110,20,74,4,25,1688.3525088191006,-42.904777844414376,63.79888268156425,1790
90,26,72,4,30,1684.9282454809502,-44.057829084824164,63.83430695698353,1883
90,22,72,4,40,1670.1504837103005,-55.08215217143785,64.22505307855626,1884
90,32,74,4,40,1669.1068418967,-46.304023080375124,63.09130913091309,1818
90,24,72,4,30,1667.9475739057004,-48.969587226623155,64.04019037546271,1891
150,30,78,4,10,1665.5876275923997,-51.89596116992882,60.19517205957884,1947
70,26,78,4,15,1653.4956897343504,-49.087133468104774,61.769710720363015,1763
