SMA,Buy,Sell,Hold,Return,MDD,WinRate,Trades
50,15,80,15,1477.3856651727494,-40.265054628458955,61.601543656536414,2073
150,35,80,30,1340.5018724353508,-62.98835989079645,63.053673788431475,1919
50,10,80,10,1333.2699720295498,-46.42514325308264,60.170212765957444,2350
50,10,80,30,1311.816152995501,-46.91744081486212,62.66456029489205,1899
150,35,80,50,1279.2621623533494,-63.08107483005031,63.30708661417322,1905
120,35,80,10,1260.5916326156005,-47.68977368523384,61.19900083263947,2402
50,15,80,10,1240.4859173499503,-47.15906665798934,59.97469422184732,2371
150,20,80,10,1237.2141370477495,-58.51106258503527,61.19467125053717,2327
50,10,80,15,1228.2562253899,-41.27784167781087,61.81198246468582,2053
100,10,80,50,1192.0366305133991,-50.47097440655409,62.87234042553192,1880
150,35,80,40,1162.6027839585997,-63.62358664560348,63.1827731092437,1904
150,35,80,15,1160.0218695057504,-57.77572122293518,61.941374339259966,2081
150,30,80,10,1127.1471304104998,-64.91143955999173,61.32713440405748,2366
150,25,80,15,1118.2480586058498,-55.753266935381774,62.1256038647343,2070
150,25,80,50,1103.5360846631504,-63.68606550130674,63.224446786090624,1898
50,20,80,15,1100.6245638797013,-41.35798471774192,61.057692307692314,2080
150,15,80,50,1095.1541588081502,-55.56372136283777,63.14085267134377,1853
30,35,80,15,1085.7739569408507,-53.469835095356444,62.228517469310674,2118
120,30,80,10,1078.98878244865,-54.538560340404196,61.29436325678497,2395
30,35,80,20,1052.4604835347998,-56.064545280824774,62.25949679329058,2027
100,15,80,50,1050.2308608101505,-50.65348507332919,62.92785676671932,1899
150,25,80,30,1023.8245726209998,-63.74274221402991,62.893081761006286,1908
100,10,80,30,1016.2579527823008,-53.00416019997052,62.769878883622965,1899
150,35,80,10,1005.6339703104501,-63.97293323619112,61.165048543689316,2369
30,25,80,15,1003.7849828372508,-44.7367540129098,61.897949451597526,2097
150,15,80,10,1003.0970415346003,-57.17408754989931,60.780911062906725,2305
120,25,80,10,992.1111427976005,-57.059821377536416,60.99201345102985,2379
150,30,80,15,992.0311408947008,-57.15019544947757,61.794500723588996,2073
150,25,80,40,991.0177642797,-64.21581967457892,63.09963099630996,1897
100,25,70,20,981.9820919684989,-56.507570185414636,62.946607788036935,2491
150,15,80,30,980.6969200507,-57.29413869032059,62.77450455275844,1867
50,10,80,50,978.8056414580994,-46.34951048830614,62.653169952051144,1877
50,15,80,30,975.5727316148004,-47.14713986589676,61.92226890756303,1904
50,25,80,15,971.2479955196491,-41.629476787838136,61.19331742243437,2095
60,35,80,10,970.7203126957497,-48.60509625570303,60.63829787234043,2444
150,15,80,40,970.6523910873507,-56.70705977706759,62.944983818770226,1854
150,30,80,50,965.8576284251991,-62.984466615544676,63.20506062203479,1897
100,20,70,20,965.1500150396998,-53.16270533371389,62.92089249492901,2465
100,10,80,40,964.1513025584496,-51.42263591984436,62.64612114771519,1882
100,30,70,20,962.8361998945998,-56.514836720720666,63.183087355404865,2507
150,25,80,10,962.4556841534508,-64.65473672742912,61.158432708688245,2348
150,20,80,50,949.6796246223009,-60.78334931896472,63.026105487480024,1877
100,15,80,40,948.0076284699999,-51.40065825035156,62.70384008416623,1901
