SMA,Buy,Sell,Hold,Return,MDD,Win,Trades
50,25,80,20,5217.124790540859,-42.32077068585637,51.470588235294116,1020
60,35,80,40,3588.799174430183,-44.66565037319307,55.97189695550351,854
60,25,80,20,3325.9385984749556,-34.24792680378474,50.76784101174346,1107
50,25,75,20,3258.8592093936973,-43.2645311910467,52.47148288973384,1052
50,40,80,20,2759.3756789365843,-47.9316045081312,50.10087424344317,1487
50,25,80,40,2741.0054203183618,-51.11162173010405,54.350927246790306,701
60,40,80,40,2476.0543087118267,-47.30446671010975,55.18433179723502,868
50,35,80,20,2397.618055437343,-34.55087362000977,48.174157303370784,1424
60,40,60,20,2189.865734438806,-43.270376981734394,63.31918906176332,2121
100,35,60,40,2171.7663575034417,-39.05737955538971,66.58195679796697,1574
60,25,75,20,2021.640501449044,-36.27006166046816,51.09745390693591,1139
60,40,80,20,1811.0754636253405,-42.485569045575744,49.12043301759134,1478
50,30,80,40,1792.6550289749616,-62.589575416715185,54.894671623296155,807
100,35,70,40,1725.054735020224,-39.37097391774437,64.71631205673759,1128
50,25,70,20,1698.1034353777854,-43.24620492431738,54.23572744014733,1086
50,30,80,20,1697.6501733316209,-60.582551440030876,46.87258687258687,1295
60,35,75,40,1592.7610299495643,-42.0667038780018,60.182370820668694,987
60,25,70,20,1590.6215937036152,-34.35526454513918,53.41880341880342,1170
50,25,65,20,1576.348799660827,-43.300418421160515,57.84399649430324,1141
60,40,70,40,1490.0434734746875,-52.53713961217032,64.83979763912309,1186
100,40,70,40,1464.505447959552,-40.98889542237316,64.02439024390245,1148
50,35,75,40,1450.59315801705,-47.47947063135571,59.11431513903192,971
100,30,80,20,1447.5332322848162,-42.95248252816464,48.86446886446886,1365
60,40,75,40,1419.2790894448856,-46.22737532780831,59.90147783251232,1015
120,40,80,20,1401.0949064219708,-56.88343023007666,49.11444141689373,1468
50,35,70,20,1349.8664117521946,-41.81003785858797,53.39506172839506,1620
120,35,80,40,1347.9994407078914,-41.18275866395864,53.62663495838288,841
60,30,75,20,1343.3039714164954,-45.92236143387123,49.5286439448876,1379
60,25,80,40,1338.5119329963986,-55.44258961165395,54.81682496607869,737
120,35,80,20,1306.9258717753873,-46.948445325106235,49.40766550522648,1435
100,40,80,20,1294.7408513669975,-60.61252580302058,48.095238095238095,1470
120,40,75,20,1292.3128424153654,-43.77715593685192,50.479846449136275,1563
50,35,80,40,1259.734632074333,-44.63548814138276,55.2414605418139,849
50,35,70,40,1221.8809478424096,-52.08466230098395,64.26690079016682,1139
50,40,60,20,1202.8650658072117,-47.05624967094413,61.965811965811966,2106
120,35,70,40,1193.1328148040861,-44.689915227036245,63.23792486583184,1118
60,40,70,20,1178.5476953566258,-56.97752457725343,54.88721804511278,1729
50,25,75,40,1152.2471647753625,-52.05464572335043,58.83116883116883,770
100,25,65,40,1136.7769582161507,-42.07682264868489,64.65028355387523,1058
50,30,75,20,1134.1207916250783,-50.403417349922854,49.03129657228018,1342
60,35,70,40,1124.793740849843,-50.2395084746218,64.28571428571429,1134
60,35,80,20,1112.9435136912311,-66.43998784413014,46.71787709497207,1432
100,40,60,20,1100.2723429295215,-44.36854722046839,62.57225433526011,2076
100,40,70,20,1093.4178755389096,-46.937466644195865,53.51447135262847,1693
50,25,80,10,1092.9858705037418,-36.095157648032405,49.022447501810284,1381
100,40,75,10,1088.7675145656751,-42.087414631605306,47.91589819254887,2711
100,40,60,40,1083.639747684896,-46.49097421139851,65.33333333333333,1650
50,25,70,40,1081.134236312603,-54.57769823555716,61.63895486935868,842
50,35,75,20,1065.5649823088906,-42.37451363712542,49.96695307336418,1513
100,35,70,20,1054.5881987375944,-40.36653634426983,52.91948371235402,1627
50,30,80,10,1052.3340299862773,-57.910943050600416,47.18204488778055,2005
60,35,70,20,1043.770139452285,-50.30609081375673,53.836784409257,1642
120,40,70,40,1042.0873899692062,-44.2996626339499,63.18537859007834,1149
60,30,80,40,1026.7627952901205,-47.0833819309515,54.15117719950434,807
100,20,80,20,1026.4790169121015,-41.456554460380204,49.52076677316294,939
120,35,75,20,1016.1780656746661,-46.07566176364373,50.5249343832021,1524
120,25,80,40,1015.8511779863088,-53.71191756582386,54.02597402597402,770
120,40,60,40,1010.2743382301428,-45.1793165774824,65.67255021302495,1643
100,35,65,20,992.4041263864777,-48.692767548236176,57.74647887323944,1775
200,35,70,40,985.8475784830162,-47.39894679978075,62.59124087591241,1096
60,35,65,40,970.1491361632085,-42.54143138016468,64.15525114155251,1314
100,40,70,10,957.922936477277,-56.685907823776105,49.08372260150916,2783
60,30,80,20,947.2142328272204,-48.65697094923305,47.61904761904761,1323
50,40,70,40,938.8527136072978,-47.04983475774531,64.26146010186757,1178
100,25,70,40,934.2312525423131,-45.5559746232431,62.43386243386243,945
120,35,65,20,931.1333438002928,-46.303075212069736,57.33634311512416,1772
20,40,65,20,930.0694820691118,-47.42666672149629,60.93366093366094,1628
100,35,75,20,929.8927624447293,-49.09989683906237,49.5075508864084,1523
50,40,60,40,918.4199359653164,-47.04114887367428,65.03287507471607,1673
50,25,60,20,916.7964448377882,-35.21159315175005,61.44781144781145,1188
50,30,70,10,915.865354043185,-56.954713361472685,48.63813229571984,2056
100,20,60,40,912.0854453058896,-39.04703042450993,66.14872364039955,901
60,25,65,20,897.034861043175,-45.19650451474331,55.76451349141456,1223
50,30,75,10,884.9185644757941,-55.6446132997916,47.241379310344826,2030
60,35,65,20,871.9405562213668,-44.21436091831162,57.52508361204013,1794
50,35,65,20,867.839968562326,-39.31240888304657,56.80643308443424,1741
60,35,60,40,865.6129266665475,-63.87827314260521,64.70588235294117,1547
120,35,60,40,861.6697581957224,-44.74838284684285,65.00646830530401,1546
100,35,65,40,857.7929365980998,-44.440405736358414,65.3250773993808,1292
50,40,75,40,851.0347152768466,-47.04935934569583,59.58498023715415,1012
60,30,80,10,849.6903083402563,-51.67264627350616,48.001880582980725,2127
100,35,75,10,849.1602881448048,-52.67990112868255,48.94777864380359,2566
60,35,60,20,844.5151848048757,-57.57153408191188,61.41331977630911,1967
50,30,70,20,840.3888824627857,-61.571832035443805,51.80722891566265,1411
60,25,70,40,838.501072579164,-56.461525107591285,62.131519274376416,882
120,40,80,40,814.6370397691179,-49.68925836101196,53.003533568904594,849
120,25,75,40,814.0807217281002,-45.6618415159834,59.15985997666277,857
60,25,80,10,809.3578842054825,-48.09993902014458,49.1395793499044,1569
100,40,75,20,808.1482713851061,-49.183472690998215,49.19717405266538,1557
100,25,60,40,807.0192875507246,-44.66315788734308,63.86554621848739,1190
60,35,80,10,806.7257473309834,-56.93856529393819,47.80487804878049,2460
120,30,75,20,800.5697642749352,-44.05826089527548,50.45233124565066,1437
20,40,65,40,799.6695374627075,-52.677452468368834,67.07882534775888,1294
50,30,65,20,796.8064811858154,-54.90914869376105,56.11702127659575,1504
60,40,60,40,791.4726795852888,-54.24311332861714,65.42393265183404,1663
50,25,65,40,774.5118439608307,-52.2042005596681,63.44902386117137,922
100,25,75,40,769.640935528906,-43.12132386829719,59.037558685446015,852
100,20,70,40,763.8382704090184,-42.278163906067675,63.27077747989276,746
120,30,75,40,759.9356731037028,-43.31138568030977,59.11062906724512,922
60,30,70,40,759.469132120676,-52.738528821027266,62.68221574344023,1029
100,20,65,40,759.1685930602596,-37.83906657357593,66.2621359223301,824
60,20,80,40,758.0742391740895,-39.090248409213785,54.249547920434,553
50,25,70,10,756.9828424069113,-35.77395179517984,49.033643521832495,1397
100,20,60,20,751.4304637269188,-38.243827528347595,60.9942638623327,1046
20,40,80,20,723.4098024392533,-48.914878616695596,49.617151607963244,1306
60,40,75,10,718.0292326797763,-56.30879512577272,48.3271375464684,2690
50,20,80,10,716.2215380658214,-23.75146594275005,52.88461538461539,624
120,40,75,10,715.1203600157443,-49.670472925995526,48.62759643916914,2696
50,30,60,40,710.685272568041,-58.509105622027356,64.9624060150376,1330
100,20,65,20,706.9288723463734,-40.47737821649405,57.11481844946026,1019
120,40,75,40,706.4510965415886,-42.92725136404943,58.35897435897436,975
50,25,75,10,689.90290766237,-36.02374140415194,48.561151079136685,1390
200,35,60,40,689.2536063761792,-57.39423073256579,65.05305039787798,1508
50,40,75,20,689.1451885368626,-40.22648533558383,49.90488268864933,1577
60,25,75,40,689.0625974056131,-53.75918569767604,57.947434292866085,799
100,40,80,10,688.3029433812259,-51.80236693424918,47.98341500188466,2653
100,30,80,10,686.0719878534269,-46.80806956510871,48.266783677051336,2279
120,20,80,40,686.040062316507,-40.764954277316775,52.193645990922846,661
60,30,75,40,684.1683724504335,-56.85033044132094,57.411504424778755,904
50,40,80,10,684.0522979892652,-65.78636072420852,47.0,2600
60,25,60,40,683.5520067238577,-50.47310897275861,64.37728937728939,1092
100,35,60,20,683.4192448002067,-47.825792998952906,61.855670103092784,1940
60,25,70,10,682.9558807600706,-49.11155284159744,49.62406015037594,1596
60,40,80,10,682.3864112696175,-69.5417669744986,47.1841704718417,2628
200,40,60,40,665.1528772691079,-67.38402944277017,64.88020176544767,1586
50,25,60,40,664.2159412944942,-45.36048039859257,64.75728155339806,1030
50,25,65,10,663.3842815200838,-32.753931147396095,50.03538570417552,1413
20,40,70,40,663.2693742734846,-48.16464564539596,63.71115173674588,1094
100,30,60,40,658.3365134519257,-53.468495811993876,64.8959081119885,1393
200,40,70,20,652.2436507341924,-51.01602957465094,52.879901960784316,1632
60,20,60,20,649.8524096671593,-32.436518391038376,61.569148936170215,752
60,40,70,10,644.8171685423101,-56.28321377902908,48.68468468468469,2775
120,30,80,20,642.6235819513388,-51.37457499507656,48.498168498168496,1365
120,30,80,40,629.8656437612442,-50.908559052175185,52.97029702970298,808
200,40,80,10,620.7369006305437,-59.29905086877678,48.09834805993085,2603
200,40,70,40,619.6778828537114,-49.325098544295514,63.022222222222226,1125
60,25,75,10,618.9627442520134,-48.327523987335695,49.33586337760911,1581
60,20,65,20,607.2744426529812,-34.18351337348582,56.403269754768395,734
120,35,65,40,606.2094340576327,-52.23226562499404,64.11446249033256,1293
60,35,75,10,602.8971721685141,-51.80290238994859,48.26485839648983,2507
120,35,70,20,599.2294642238917,-46.41245142264539,52.96662546353523,1618
50,40,65,20,599.0530448629277,-45.0609062628945,58.04382683057189,1871
120,40,70,10,592.2914472091579,-49.04716563660196,48.880057803468205,2768
60,25,60,20,591.6919243062019,-43.086508110013476,58.98832684824903,1285
100,35,80,20,589.8956852645742,-59.37531440036512,48.03921568627451,1428
100,20,75,20,587.2339212713657,-38.23278738499317,50.26123301985371,957
100,25,80,40,583.3052042983521,-48.47737839805773,53.53403141361257,764
100,40,60,10,583.0805983294935,-47.05148583504456,52.672750977835726,3068
100,20,80,10,579.7584756578719,-41.420460866221816,50.040290088638194,1241
60,30,60,20,578.2159446172657,-42.25738644365152,59.71223021582733,1668
100,40,65,10,571.7919809996079,-43.15614290667115,50.393970537855424,2919
50,40,80,40,566.476507769693,-51.36074353643607,54.55594002306805,867
100,35,80,40,564.6834400730276,-38.606409393750184,52.751196172248804,836
50,30,65,10,563.7164169144068,-59.2346807558112,49.310508796956725,2103
20,40,75,40,563.3119522073348,-53.04590983117778,58.46477392218718,951
120,35,75,40,563.1489268651297,-44.228662421474894,57.85562632696391,942
200,30,70,40,561.5319118111664,-49.89574793547985,62.65640038498557,1039
60,20,60,40,558.1300767636142,-37.96904139487719,66.38297872340425,705
50,35,60,20,555.8926371909513,-46.35882248040433,60.70870244919229,1919
100,40,65,20,553.8824824528444,-55.47410506720204,57.45708154506438,1864
50,30,75,40,553.3309884050689,-57.71493839547459,57.40112994350282,885
50,35,60,40,553.0999058922482,-56.58125287213065,64.45743989603639,1539
200,30,80,20,551.6810696528898,-53.87975931790321,49.81604120676968,1359
100,30,75,20,546.5375986665287,-54.862152260955476,49.6140350877193,1425
60,25,65,40,541.6255892656594,-55.431464400815415,63.25051759834368,966
120,40,80,10,539.5681721944514,-45.9747554893936,47.90011350737798,2643
60,20,80,10,536.8332253973354,-30.670486230682876,50.911300121506684,823
60,20,65,40,536.625280835815,-38.38403819726615,64.97005988023952,668
60,40,65,20,536.4230768359804,-52.97117044167372,57.32551944592434,1877
100,40,65,40,535.0746880635083,-42.42270854086213,64.80117820324006,1358
20,40,75,20,527.78358126493,-58.213924335379865,50.98039215686274,1377
100,40,80,40,524.4033255558854,-47.42065683713278,53.11398354876615,851
60,20,80,20,521.307515411532,-31.981626112156736,47.77618364418939,697
50,20,75,10,520.356444128973,-23.750235815124938,52.88461538461539,624
200,40,75,40,520.0909163459826,-47.642009152898105,57.94491525423729,944
50,20,65,20,518.0217179576157,-26.36498558666944,56.34517766497462,591
100,35,80,10,516.6841033067994,-52.00828973417608,47.912524850894634,2515
