SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
110,28,72,3,40,1992.2679633746006,-54.65179126757897,63.0648330058939,509
150,32,76,3,30,1627.8352633996003,-53.037972689788035,61.29032258064516,496
150,30,76,3,40,1465.6900814651,-56.27012495923759,60.801781737193764,449
130,32,76,3,30,1385.7451081160993,-53.48267413730608,63.27345309381237,501
150,26,72,5,40,1327.5235434545498,-43.1468400210427,62.48462484624846,813
110,30,72,3,40,1319.1957517860503,-48.33213845597687,62.13592233009708,515
150,30,80,5,25,1318.6365071167502,-48.962073791185084,55.081555834378925,797
110,30,80,3,30,1303.0834566213,-62.21902503869151,58.78378378378378,444
150,28,72,5,40,1271.35340749365,-40.89820184485847,62.454873646209386,831
150,32,76,3,40,1239.1700776234497,-46.84343042052424,60.84070796460177,452
150,28,76,3,40,1220.6938045344498,-55.50880559442625,60.98654708520179,446
150,28,74,5,30,1211.8325803875503,-51.41121016910783,62.9500580720093,861
130,30,80,5,25,1183.1623406458002,-56.84672877425621,56.71641791044776,804
110,32,80,3,30,1169.18320298905,-65.55351483559903,58.536585365853654,451
110,32,76,3,20,1125.0292000477505,-55.71123571540756,57.04697986577181,596
150,26,74,5,30,1113.11484309545,-60.18703262958981,62.27758007117438,843
130,26,74,5,30,1112.9496147476996,-47.16634053900333,61.950059453032104,841
150,32,70,5,40,1108.6695790485498,-45.50308393882453,61.29032258064516,899
50,32,72,3,20,1078.3333915077503,-67.16878228866602,57.791225416036305,661
150,26,80,5,40,1076.1870311511998,-59.64157897717296,58.88888888888889,630
50,32,72,3,40,1072.5394622174001,-67.33872097694015,62.77372262773723,548
130,26,74,5,40,1048.1228607146998,-49.46562148997168,61.21134020618557,776
150,26,80,7,40,1037.7669247867998,-54.31558831193159,58.620689655172406,870
150,24,72,5,40,1026.0041758322006,-43.66197349849914,62.421972534332085,801
130,30,76,3,20,1019.7813947820997,-55.94472888673047,56.536502546689306,589
110,26,72,3,40,985.1889630069498,-54.66534825409802,62.301587301587304,504
50,32,78,3,40,974.8799773024997,-61.935476989589844,61.137440758293835,422
