BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2025-12-12,2025-12-16,메지온,140410.KQ,71400.0,97000.0,70946,1788714673.6400003,35.27083909526454,4,27.86126675470163,83.28975204353841
2025-06-13,2025-07-08,파마리서치,214450.KQ,432240.15625,586291.125,7802,1183618603.2582407,35.05755090098755,25,25.69729152613766,85.065860760156
2025-11-07,2025-11-13,하나머티리얼즈,166090.KQ,37250.0,46500.0,116482,1055407001.375,24.296052827838587,6,18.898040065224194,80.08780150957982
2025-09-17,2025-09-23,오스코텍,039200.KQ,39650.0,47800.0,94851,754428966.4575005,20.03706456364589,6,28.684473147158457,81.88305791417753
2025-12-03,2025-12-11,올릭스,226950.KQ,121400.0,140200.0,40385,735764622.5999994,14.98997734154321,8,34.50795038129979,75.18879185841915
2024-08-05,2024-08-26,보로노이,310210.KQ,58900.0,83500.0,27497,667331292.2799997,41.15681228047845,21,18.09059069145438,81.36817773479171
2025-04-15,2025-04-30,코나아이,052400.KQ,30750.0,39100.0,76511,626737752.4474998,26.60833537366986,15,25.811082393809315,72.76625941693236
2024-12-13,2025-01-13,비에이치아이,083650.KQ,13240.0,17180.0,159488,617323343.6159999,29.200988349802557,31,30.21760952599351,74.33752290043206
2024-06-07,2024-06-21,제룡전기,033100.KQ,59227.34765625,80461.59375,29280,612323288.6599689,35.26860393513238,14,23.539583927692945,84.75880543687099
2024-11-25,2024-12-12,펩트론,087010.KQ,80500.0,105900.0,23956,598273311.0399997,30.987767793745252,17,24.9577687058935,71.98911194746037
2025-07-04,2025-07-28,비에이치아이,083650.KQ,36950.0,42900.0,97422,562356073.6950002,15.60417292779069,24,18.254138242800693,74.10319221253927
2025-06-04,2025-06-11,디앤디파마텍,347850.KQ,82100.0,97400.0,37690,561534829.75,18.126261985075264,7,25.42416150605527,78.08389286554694
2025-06-09,2025-06-12,엘앤씨바이오,290650.KQ,25879.314453125,30425.6796875,121614,537626687.5032196,17.0626045828162,3,34.94745625661008,71.60737912144833
2025-10-15,2025-11-04,오스코텍,039200.KQ,41600.0,47050.0,101122,531290184.7050004,12.615186045662883,20,27.947278221119447,83.34645565151051
2025-03-21,2025-04-10,올릭스,226950.KQ,39450.0,48250.0,57870,497835066.1500001,21.781402591076034,20,22.488432099315304,73.81233070231582
2025-04-15,2025-04-22,네이처셀,007390.KQ,27400.0,33250.0,85866,490617072.16499996,20.829157782418832,7,33.96242058130744,73.43317818887425
2024-09-27,2024-10-08,올릭스,226950.KQ,17280.0,21600.0,110561,467903881.36800003,24.463117414972785,11,30.872288812217363,81.95524023926919
2025-01-13,2025-01-17,쏠리드,050890.KQ,5798.0458984375,7048.994140625,382438,467368361.66017056,21.053168705476647,4,23.259959636089604,78.14620989825295
2025-04-16,2025-04-22,메지온,140410.KQ,32500.0,39050.0,71289,455509441.9575,19.637778093653836,6,25.65302371797877,77.07514341336997
2025-09-15,2025-10-10,비에이치아이,083650.KQ,48050.0,54000.0,79326,454112990.9549999,11.900242920433381,25,21.59520840839474,76.25486991485117
2024-08-29,2024-09-19,바이넥스,053030.KQ,21750.0,27000.0,87239,448403007.56250024,23.604751087972982,21,32.621719417430015,87.49734316911581
2025-09-08,2025-09-15,엔켐,348370.KQ,71100.0,79600.0,51018,416689259.90999985,11.474139479401778,7,34.8023515840942,74.48793054322641
2025-06-02,2025-06-09,우리기술투자,041190.KQ,6870.0,7870.0,429758,415708781.2220001,14.064015610577679,7,33.108574668230276,81.16176061066966
2024-11-04,2024-11-06,솔트룩스,304100.KQ,16670.0,20250.0,116879,408730771.918,20.953959335486445,2,26.075624989752697,82.03977101555762
2025-11-10,2026-01-02,하나마이크론,067310.KQ,24350.0,26650.0,184215,403071630.75,8.97550978592278,53,19.631088289100006,73.73882989302915
2025-02-10,2025-03-05,성광벤드,014620.KQ,25600.0,29800.0,97453,397285670.5699997,15.906278092693391,23,19.188234165978628,75.18676994615713
2024-05-24,2024-06-07,원익QnC,074600.KQ,32635.779296875,40621.1328125,50124,391962953.413044,23.933497080745507,14,31.27900644230155,85.444188031871
2025-10-02,2025-10-15,RFHIC,218410.KQ,28813.859375,31705.21484375,139390,384486142.1762676,9.561994494591213,13,25.869019204591126,74.10915011782626
2024-06-17,2024-06-21,보로노이,310210.KQ,41400.0,50300.0,42768,371822639.76,20.97574504295905,4,28.43405193442767,76.29784943221645
2021-12-20,2021-12-28,위메이드맥스,101730.KQ,33650.0,46300.0,29625,369289178.4375,37.00189804013646,8,15.108072183767874,76.65757310817928
2025-04-28,2025-06-02,솔트룩스,304100.KQ,30400.0,34850.0,83309,358667113.6125002,14.145780050310572,35,24.558255792390895,71.11468406402648
